============================================================
Configurazione : deep_complete
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : complete  (28 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 13
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_complete_seme0

epoca    1 | train 0.53201 | val 0.51343 | AUC 0.8265 | lr 0.049010 | mom 0.900 | 1.4 min
epoca    2 | train 0.50385 | val 0.49539 | AUC 0.8373 | lr 0.048039 | mom 0.900 | 2.8 min
epoca    3 | train 0.49719 | val 0.49656 | AUC 0.8355 | lr 0.047088 | mom 0.901 | 4.2 min
epoca    4 | train 0.49383 | val 0.49666 | AUC 0.8422 | lr 0.046156 | mom 0.901 | 5.7 min
epoca    5 | train 0.49149 | val 0.48953 | AUC 0.8446 | lr 0.045242 | mom 0.902 | 7.1 min
epoca    6 | train 0.48945 | val 0.49030 | AUC 0.8422 | lr 0.044346 | mom 0.902 | 8.5 min
epoca    7 | train 0.48795 | val 0.48440 | AUC 0.8455 | lr 0.043468 | mom 0.903 | 9.9 min
epoca    8 | train 0.48682 | val 0.48747 | AUC 0.8439 | lr 0.042607 | mom 0.903 | 11.3 min
epoca    9 | train 0.48590 | val 0.48476 | AUC 0.8455 | lr 0.041764 | mom 0.904 | 12.7 min
epoca   10 | train 0.48500 | val 0.48302 | AUC 0.8484 | lr 0.040937 | mom 0.904 | 14.2 min
epoca   11 | train 0.48415 | val 0.48796 | AUC 0.8472 | lr 0.040126 | mom 0.904 | 15.6 min
epoca   12 | train 0.48319 | val 0.49290 | AUC 0.8436 | lr 0.039331 | mom 0.905 | 17.0 min
epoca   13 | train 0.48225 | val 0.47954 | AUC 0.8486 | lr 0.038553 | mom 0.905 | 18.4 min
epoca   14 | train 0.48120 | val 0.47652 | AUC 0.8507 | lr 0.037789 | mom 0.906 | 19.8 min
epoca   15 | train 0.48025 | val 0.47765 | AUC 0.8504 | lr 0.037041 | mom 0.906 | 21.2 min
epoca   16 | train 0.47953 | val 0.48135 | AUC 0.8473 | lr 0.036307 | mom 0.907 | 22.7 min
epoca   17 | train 0.47889 | val 0.47498 | AUC 0.8517 | lr 0.035589 | mom 0.907 | 24.1 min
epoca   18 | train 0.47796 | val 0.47719 | AUC 0.8501 | lr 0.034884 | mom 0.908 | 25.5 min
epoca   19 | train 0.47730 | val 0.47508 | AUC 0.8521 | lr 0.034193 | mom 0.908 | 26.9 min
epoca   20 | train 0.47666 | val 0.47537 | AUC 0.8535 | lr 0.033516 | mom 0.909 | 28.3 min
epoca   21 | train 0.47605 | val 0.47386 | AUC 0.8528 | lr 0.032852 | mom 0.909 | 29.7 min
epoca   22 | train 0.47558 | val 0.47124 | AUC 0.8544 | lr 0.032202 | mom 0.909 | 31.2 min
epoca   23 | train 0.47491 | val 0.48068 | AUC 0.8510 | lr 0.031564 | mom 0.910 | 32.6 min
epoca   24 | train 0.47448 | val 0.47943 | AUC 0.8495 | lr 0.030939 | mom 0.910 | 34.0 min
epoca   25 | train 0.47405 | val 0.47465 | AUC 0.8527 | lr 0.030327 | mom 0.911 | 35.4 min
epoca   26 | train 0.47351 | val 0.47106 | AUC 0.8539 | lr 0.029726 | mom 0.911 | 36.8 min
epoca   27 | train 0.47310 | val 0.47536 | AUC 0.8530 | lr 0.029137 | mom 0.912 | 38.2 min
epoca   28 | train 0.47272 | val 0.48008 | AUC 0.8545 | lr 0.028560 | mom 0.912 | 39.7 min
epoca   29 | train 0.47234 | val 0.47031 | AUC 0.8560 | lr 0.027995 | mom 0.913 | 41.1 min
epoca   30 | train 0.47175 | val 0.47144 | AUC 0.8540 | lr 0.027441 | mom 0.913 | 42.5 min
epoca   31 | train 0.47140 | val 0.47757 | AUC 0.8530 | lr 0.026897 | mom 0.913 | 43.9 min
epoca   32 | train 0.47099 | val 0.47106 | AUC 0.8563 | lr 0.026365 | mom 0.914 | 45.3 min
epoca   33 | train 0.47032 | val 0.46899 | AUC 0.8554 | lr 0.025843 | mom 0.914 | 46.7 min
epoca   34 | train 0.46978 | val 0.46895 | AUC 0.8559 | lr 0.025331 | mom 0.915 | 48.2 min
epoca   35 | train 0.46931 | val 0.47239 | AUC 0.8553 | lr 0.024829 | mom 0.915 | 49.6 min
epoca   36 | train 0.46895 | val 0.46885 | AUC 0.8558 | lr 0.024338 | mom 0.916 | 51.0 min
epoca   37 | train 0.46864 | val 0.46872 | AUC 0.8564 | lr 0.023856 | mom 0.916 | 52.4 min
epoca   38 | train 0.46815 | val 0.46866 | AUC 0.8585 | lr 0.023383 | mom 0.917 | 53.8 min
epoca   39 | train 0.46766 | val 0.46953 | AUC 0.8569 | lr 0.022920 | mom 0.917 | 55.2 min
epoca   40 | train 0.46728 | val 0.46729 | AUC 0.8585 | lr 0.022466 | mom 0.918 | 56.7 min
epoca   41 | train 0.46693 | val 0.46553 | AUC 0.8582 | lr 0.022022 | mom 0.918 | 58.1 min
epoca   42 | train 0.46647 | val 0.47086 | AUC 0.8553 | lr 0.021586 | mom 0.918 | 59.5 min
epoca   43 | train 0.46593 | val 0.46360 | AUC 0.8602 | lr 0.021158 | mom 0.919 | 60.9 min
epoca   44 | train 0.46556 | val 0.46506 | AUC 0.8584 | lr 0.020739 | mom 0.919 | 62.3 min
epoca   45 | train 0.46520 | val 0.47030 | AUC 0.8593 | lr 0.020328 | mom 0.920 | 63.7 min
epoca   46 | train 0.46484 | val 0.46367 | AUC 0.8596 | lr 0.019926 | mom 0.920 | 65.2 min
epoca   47 | train 0.46452 | val 0.46678 | AUC 0.8571 | lr 0.019531 | mom 0.921 | 66.6 min
epoca   48 | train 0.46413 | val 0.47035 | AUC 0.8586 | lr 0.019145 | mom 0.921 | 68.0 min
epoca   49 | train 0.46372 | val 0.46491 | AUC 0.8586 | lr 0.018766 | mom 0.922 | 69.4 min
epoca   50 | train 0.46338 | val 0.46125 | AUC 0.8613 | lr 0.018394 | mom 0.922 | 70.8 min
epoca   51 | train 0.46305 | val 0.46586 | AUC 0.8606 | lr 0.018030 | mom 0.922 | 72.2 min
epoca   52 | train 0.46270 | val 0.47004 | AUC 0.8594 | lr 0.017673 | mom 0.923 | 73.6 min
epoca   53 | train 0.46241 | val 0.46696 | AUC 0.8591 | lr 0.017323 | mom 0.923 | 75.1 min
epoca   54 | train 0.46208 | val 0.46004 | AUC 0.8620 | lr 0.016980 | mom 0.924 | 76.5 min
epoca   55 | train 0.46180 | val 0.46925 | AUC 0.8568 | lr 0.016644 | mom 0.924 | 77.9 min
epoca   56 | train 0.46146 | val 0.46540 | AUC 0.8583 | lr 0.016314 | mom 0.925 | 79.3 min
epoca   57 | train 0.46123 | val 0.45982 | AUC 0.8625 | lr 0.015991 | mom 0.925 | 80.7 min
epoca   58 | train 0.46097 | val 0.46921 | AUC 0.8592 | lr 0.015674 | mom 0.926 | 82.1 min
epoca   59 | train 0.46065 | val 0.46182 | AUC 0.8606 | lr 0.015364 | mom 0.926 | 83.6 min
epoca   60 | train 0.46036 | val 0.46376 | AUC 0.8605 | lr 0.015060 | mom 0.927 | 85.0 min
epoca   61 | train 0.46010 | val 0.45845 | AUC 0.8630 | lr 0.014762 | mom 0.927 | 86.4 min
epoca   62 | train 0.45983 | val 0.46399 | AUC 0.8593 | lr 0.014469 | mom 0.927 | 87.8 min
epoca   63 | train 0.45959 | val 0.45856 | AUC 0.8632 | lr 0.014183 | mom 0.928 | 89.2 min
epoca   64 | train 0.45925 | val 0.45756 | AUC 0.8635 | lr 0.013902 | mom 0.928 | 90.6 min
epoca   65 | train 0.45890 | val 0.45990 | AUC 0.8625 | lr 0.013627 | mom 0.929 | 92.1 min
