============================================================
Configurazione : deep_high
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : high  (7 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 7
  colonne standardizzate a media 0       : 0


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_high_seme0

epoca    1 | train 0.56592 | val 0.55999 | AUC 0.7850 | lr 0.049010 | mom 0.900 | 1.4 min
epoca    2 | train 0.55580 | val 0.55266 | AUC 0.7862 | lr 0.048039 | mom 0.900 | 2.8 min
epoca    3 | train 0.55406 | val 0.55162 | AUC 0.7893 | lr 0.047088 | mom 0.901 | 4.3 min
epoca    4 | train 0.55307 | val 0.55712 | AUC 0.7830 | lr 0.046156 | mom 0.901 | 5.7 min
epoca    5 | train 0.55255 | val 0.55591 | AUC 0.7860 | lr 0.045242 | mom 0.902 | 7.1 min
epoca    6 | train 0.55208 | val 0.54913 | AUC 0.7891 | lr 0.044346 | mom 0.902 | 8.5 min
epoca    7 | train 0.55178 | val 0.54841 | AUC 0.7904 | lr 0.043468 | mom 0.903 | 9.9 min
epoca    8 | train 0.55145 | val 0.55414 | AUC 0.7833 | lr 0.042607 | mom 0.903 | 11.3 min
epoca    9 | train 0.55121 | val 0.55590 | AUC 0.7846 | lr 0.041764 | mom 0.904 | 12.7 min
epoca   10 | train 0.55102 | val 0.55176 | AUC 0.7920 | lr 0.040937 | mom 0.904 | 14.2 min
epoca   11 | train 0.55079 | val 0.55172 | AUC 0.7900 | lr 0.040126 | mom 0.904 | 15.6 min
epoca   12 | train 0.55057 | val 0.54862 | AUC 0.7909 | lr 0.039331 | mom 0.905 | 17.0 min
epoca   13 | train 0.55041 | val 0.54743 | AUC 0.7923 | lr 0.038553 | mom 0.905 | 18.4 min
epoca   14 | train 0.55013 | val 0.54553 | AUC 0.7925 | lr 0.037789 | mom 0.906 | 19.8 min
epoca   15 | train 0.55003 | val 0.54961 | AUC 0.7901 | lr 0.037041 | mom 0.906 | 21.2 min
epoca   16 | train 0.54990 | val 0.54795 | AUC 0.7908 | lr 0.036307 | mom 0.907 | 22.7 min
epoca   17 | train 0.54973 | val 0.54704 | AUC 0.7913 | lr 0.035589 | mom 0.907 | 24.1 min
epoca   18 | train 0.54954 | val 0.54802 | AUC 0.7904 | lr 0.034884 | mom 0.908 | 25.5 min
epoca   19 | train 0.54944 | val 0.54779 | AUC 0.7899 | lr 0.034193 | mom 0.908 | 26.9 min
epoca   20 | train 0.54933 | val 0.54969 | AUC 0.7905 | lr 0.033516 | mom 0.909 | 28.3 min
epoca   21 | train 0.54919 | val 0.54636 | AUC 0.7934 | lr 0.032852 | mom 0.909 | 29.7 min
epoca   22 | train 0.54904 | val 0.54496 | AUC 0.7934 | lr 0.032202 | mom 0.909 | 31.2 min
epoca   23 | train 0.54891 | val 0.55336 | AUC 0.7888 | lr 0.031564 | mom 0.910 | 32.6 min
epoca   24 | train 0.54884 | val 0.55021 | AUC 0.7899 | lr 0.030939 | mom 0.910 | 34.0 min
epoca   25 | train 0.54863 | val 0.54788 | AUC 0.7918 | lr 0.030327 | mom 0.911 | 35.4 min
epoca   26 | train 0.54844 | val 0.54722 | AUC 0.7909 | lr 0.029726 | mom 0.911 | 36.8 min
epoca   27 | train 0.54841 | val 0.54966 | AUC 0.7888 | lr 0.029137 | mom 0.912 | 38.2 min
epoca   28 | train 0.54828 | val 0.55309 | AUC 0.7902 | lr 0.028560 | mom 0.912 | 39.7 min
epoca   29 | train 0.54811 | val 0.54598 | AUC 0.7929 | lr 0.027995 | mom 0.913 | 41.1 min
epoca   30 | train 0.54800 | val 0.54823 | AUC 0.7899 | lr 0.027441 | mom 0.913 | 42.5 min
epoca   31 | train 0.54789 | val 0.55037 | AUC 0.7907 | lr 0.026897 | mom 0.913 | 43.9 min
epoca   32 | train 0.54774 | val 0.54797 | AUC 0.7934 | lr 0.026365 | mom 0.914 | 45.3 min
epoca   33 | train 0.54764 | val 0.54873 | AUC 0.7914 | lr 0.025843 | mom 0.914 | 46.7 min
epoca   34 | train 0.54746 | val 0.54839 | AUC 0.7894 | lr 0.025331 | mom 0.915 | 48.2 min
epoca   35 | train 0.54739 | val 0.54958 | AUC 0.7895 | lr 0.024829 | mom 0.915 | 49.6 min
epoca   36 | train 0.54730 | val 0.54388 | AUC 0.7952 | lr 0.024338 | mom 0.916 | 51.0 min
epoca   37 | train 0.54718 | val 0.54623 | AUC 0.7923 | lr 0.023856 | mom 0.916 | 52.4 min
epoca   38 | train 0.54715 | val 0.54899 | AUC 0.7914 | lr 0.023383 | mom 0.917 | 53.8 min
epoca   39 | train 0.54696 | val 0.54476 | AUC 0.7948 | lr 0.022920 | mom 0.917 | 55.2 min
epoca   40 | train 0.54685 | val 0.54830 | AUC 0.7921 | lr 0.022466 | mom 0.918 | 56.7 min
epoca   41 | train 0.54681 | val 0.54368 | AUC 0.7938 | lr 0.022022 | mom 0.918 | 58.1 min
epoca   42 | train 0.54669 | val 0.55022 | AUC 0.7905 | lr 0.021586 | mom 0.918 | 59.5 min
epoca   43 | train 0.54662 | val 0.54531 | AUC 0.7934 | lr 0.021158 | mom 0.919 | 60.9 min
epoca   44 | train 0.54647 | val 0.54595 | AUC 0.7942 | lr 0.020739 | mom 0.919 | 62.3 min
epoca   45 | train 0.54644 | val 0.54814 | AUC 0.7923 | lr 0.020328 | mom 0.920 | 63.7 min
epoca   46 | train 0.54633 | val 0.54723 | AUC 0.7928 | lr 0.019926 | mom 0.920 | 65.2 min
epoca   47 | train 0.54631 | val 0.54368 | AUC 0.7940 | lr 0.019531 | mom 0.921 | 66.6 min
epoca   48 | train 0.54620 | val 0.54776 | AUC 0.7920 | lr 0.019145 | mom 0.921 | 68.0 min
epoca   49 | train 0.54606 | val 0.54751 | AUC 0.7932 | lr 0.018766 | mom 0.922 | 69.4 min
epoca   50 | train 0.54599 | val 0.54204 | AUC 0.7957 | lr 0.018394 | mom 0.922 | 70.8 min
epoca   51 | train 0.54594 | val 0.54611 | AUC 0.7913 | lr 0.018030 | mom 0.922 | 72.2 min
epoca   52 | train 0.54583 | val 0.54512 | AUC 0.7939 | lr 0.017673 | mom 0.923 | 73.7 min
epoca   53 | train 0.54576 | val 0.54375 | AUC 0.7944 | lr 0.017323 | mom 0.923 | 75.1 min
epoca   54 | train 0.54569 | val 0.54476 | AUC 0.7937 | lr 0.016980 | mom 0.924 | 76.5 min
epoca   55 | train 0.54561 | val 0.54618 | AUC 0.7926 | lr 0.016644 | mom 0.924 | 77.9 min
epoca   56 | train 0.54551 | val 0.54495 | AUC 0.7927 | lr 0.016314 | mom 0.925 | 79.3 min
epoca   57 | train 0.54543 | val 0.54692 | AUC 0.7941 | lr 0.015991 | mom 0.925 | 80.7 min
epoca   58 | train 0.54534 | val 0.54416 | AUC 0.7936 | lr 0.015674 | mom 0.926 | 82.1 min
epoca   59 | train 0.54524 | val 0.54477 | AUC 0.7938 | lr 0.015364 | mom 0.926 | 83.6 min
epoca   60 | train 0.54522 | val 0.54234 | AUC 0.7956 | lr 0.015060 | mom 0.927 | 85.0 min
epoca   61 | train 0.54516 | val 0.54308 | AUC 0.7949 | lr 0.014762 | mom 0.927 | 86.4 min
epoca   62 | train 0.54511 | val 0.54558 | AUC 0.7928 | lr 0.014469 | mom 0.927 | 87.8 min
epoca   63 | train 0.54501 | val 0.54267 | AUC 0.7950 | lr 0.014183 | mom 0.928 | 89.2 min
epoca   64 | train 0.54495 | val 0.54265 | AUC 0.7951 | lr 0.013902 | mom 0.928 | 90.6 min
epoca   65 | train 0.54486 | val 0.54225 | AUC 0.7958 | lr 0.013627 | mom 0.929 | 92.1 min
epoca   66 | train 0.54481 | val 0.54548 | AUC 0.7940 | lr 0.013357 | mom 0.929 | 93.5 min
epoca   67 | train 0.54477 | val 0.54263 | AUC 0.7948 | lr 0.013092 | mom 0.930 | 94.9 min
epoca   68 | train 0.54469 | val 0.54496 | AUC 0.7939 | lr 0.012833 | mom 0.930 | 96.3 min
epoca   69 | train 0.54463 | val 0.54386 | AUC 0.7937 | lr 0.012579 | mom 0.931 | 97.7 min
epoca   70 | train 0.54454 | val 0.54342 | AUC 0.7941 | lr 0.012330 | mom 0.931 | 99.1 min
epoca   71 | train 0.54453 | val 0.54539 | AUC 0.7923 | lr 0.012086 | mom 0.931 | 100.6 min
epoca   72 | train 0.54445 | val 0.54205 | AUC 0.7959 | lr 0.011846 | mom 0.932 | 102.0 min
epoca   73 | train 0.54438 | val 0.54233 | AUC 0.7955 | lr 0.011612 | mom 0.932 | 103.4 min
epoca   74 | train 0.54433 | val 0.54647 | AUC 0.7926 | lr 0.011382 | mom 0.933 | 104.8 min
epoca   75 | train 0.54427 | val 0.54320 | AUC 0.7947 | lr 0.011157 | mom 0.933 | 106.2 min
epoca   76 | train 0.54417 | val 0.54548 | AUC 0.7951 | lr 0.010936 | mom 0.934 | 107.6 min
epoca   77 | train 0.54414 | val 0.54326 | AUC 0.7949 | lr 0.010719 | mom 0.934 | 109.1 min
epoca   78 | train 0.54410 | val 0.54258 | AUC 0.7951 | lr 0.010507 | mom 0.935 | 110.5 min
epoca   79 | train 0.54406 | val 0.54146 | AUC 0.7966 | lr 0.010299 | mom 0.935 | 111.9 min
epoca   80 | train 0.54395 | val 0.54398 | AUC 0.7948 | lr 0.010095 | mom 0.936 | 113.3 min
epoca   81 | train 0.54392 | val 0.54515 | AUC 0.7949 | lr 0.009895 | mom 0.936 | 114.7 min
epoca   82 | train 0.54389 | val 0.54275 | AUC 0.7954 | lr 0.009699 | mom 0.936 | 116.1 min
epoca   83 | train 0.54380 | val 0.54314 | AUC 0.7948 | lr 0.009507 | mom 0.937 | 117.5 min
epoca   84 | train 0.54378 | val 0.54256 | AUC 0.7950 | lr 0.009319 | mom 0.937 | 119.0 min
epoca   85 | train 0.54372 | val 0.54383 | AUC 0.7945 | lr 0.009134 | mom 0.938 | 120.4 min
epoca   86 | train 0.54369 | val 0.54339 | AUC 0.7945 | lr 0.008953 | mom 0.938 | 121.8 min
epoca   87 | train 0.54363 | val 0.54371 | AUC 0.7940 | lr 0.008776 | mom 0.939 | 123.2 min
epoca   88 | train 0.54359 | val 0.54151 | AUC 0.7960 | lr 0.008602 | mom 0.939 | 124.6 min
epoca   89 | train 0.54349 | val 0.54274 | AUC 0.7955 | lr 0.008432 | mom 0.940 | 126.0 min
epoca   90 | train 0.54349 | val 0.54403 | AUC 0.7947 | lr 0.008265 | mom 0.940 | 127.5 min
epoca   91 | train 0.54343 | val 0.54276 | AUC 0.7947 | lr 0.008101 | mom 0.941 | 128.9 min
epoca   92 | train 0.54338 | val 0.54086 | AUC 0.7966 | lr 0.007941 | mom 0.941 | 130.3 min
epoca   93 | train 0.54336 | val 0.54174 | AUC 0.7960 | lr 0.007784 | mom 0.941 | 131.7 min
epoca   94 | train 0.54329 | val 0.54202 | AUC 0.7953 | lr 0.007630 | mom 0.942 | 133.1 min
epoca   95 | train 0.54325 | val 0.54194 | AUC 0.7956 | lr 0.007478 | mom 0.942 | 134.5 min
epoca   96 | train 0.54315 | val 0.54354 | AUC 0.7942 | lr 0.007330 | mom 0.943 | 136.0 min
epoca   97 | train 0.54314 | val 0.54206 | AUC 0.7957 | lr 0.007185 | mom 0.943 | 137.4 min
epoca   98 | train 0.54314 | val 0.54127 | AUC 0.7963 | lr 0.007043 | mom 0.944 | 138.8 min
epoca   99 | train 0.54305 | val 0.54414 | AUC 0.7941 | lr 0.006903 | mom 0.944 | 140.2 min
epoca  100 | train 0.54303 | val 0.54747 | AUC 0.7924 | lr 0.006767 | mom 0.945 | 141.6 min
epoca  101 | train 0.54297 | val 0.54195 | AUC 0.7960 | lr 0.006633 | mom 0.945 | 143.0 min
epoca  102 | train 0.54293 | val 0.54195 | AUC 0.7958 | lr 0.006501 | mom 0.945 | 144.5 min
epoca  103 | train 0.54292 | val 0.54175 | AUC 0.7964 | lr 0.006373 | mom 0.946 | 145.9 min
epoca  104 | train 0.54288 | val 0.54171 | AUC 0.7959 | lr 0.006247 | mom 0.946 | 147.3 min
epoca  105 | train 0.54280 | val 0.54144 | AUC 0.7961 | lr 0.006123 | mom 0.947 | 148.7 min
epoca  106 | train 0.54279 | val 0.54198 | AUC 0.7955 | lr 0.006002 | mom 0.947 | 150.1 min
epoca  107 | train 0.54275 | val 0.54280 | AUC 0.7951 | lr 0.005883 | mom 0.948 | 151.5 min
epoca  108 | train 0.54270 | val 0.54209 | AUC 0.7960 | lr 0.005766 | mom 0.948 | 153.0 min
epoca  109 | train 0.54268 | val 0.54199 | AUC 0.7964 | lr 0.005652 | mom 0.949 | 154.4 min
epoca  110 | train 0.54264 | val 0.54187 | AUC 0.7955 | lr 0.005540 | mom 0.949 | 155.8 min
epoca  111 | train 0.54262 | val 0.54174 | AUC 0.7958 | lr 0.005430 | mom 0.950 | 157.2 min
epoca  112 | train 0.54259 | val 0.54108 | AUC 0.7964 | lr 0.005323 | mom 0.950 | 158.6 min
epoca  113 | train 0.54255 | val 0.54138 | AUC 0.7960 | lr 0.005218 | mom 0.950 | 160.0 min
epoca  114 | train 0.54250 | val 0.54023 | AUC 0.7970 | lr 0.005114 | mom 0.951 | 161.5 min
epoca  115 | train 0.54246 | val 0.54138 | AUC 0.7963 | lr 0.005013 | mom 0.951 | 162.9 min
epoca  116 | train 0.54244 | val 0.54381 | AUC 0.7962 | lr 0.004914 | mom 0.952 | 164.3 min
epoca  117 | train 0.54241 | val 0.54296 | AUC 0.7950 | lr 0.004816 | mom 0.952 | 165.7 min
epoca  118 | train 0.54239 | val 0.54273 | AUC 0.7956 | lr 0.004721 | mom 0.953 | 167.1 min
epoca  119 | train 0.54235 | val 0.54070 | AUC 0.7969 | lr 0.004628 | mom 0.953 | 168.5 min
epoca  120 | train 0.54234 | val 0.54147 | AUC 0.7965 | lr 0.004536 | mom 0.954 | 170.0 min
epoca  121 | train 0.54228 | val 0.54281 | AUC 0.7957 | lr 0.004446 | mom 0.954 | 171.4 min
epoca  122 | train 0.54229 | val 0.54266 | AUC 0.7949 | lr 0.004358 | mom 0.954 | 172.8 min
epoca  123 | train 0.54221 | val 0.54012 | AUC 0.7972 | lr 0.004272 | mom 0.955 | 174.2 min
epoca  124 | train 0.54218 | val 0.54047 | AUC 0.7970 | lr 0.004187 | mom 0.955 | 175.6 min
epoca  125 | train 0.54218 | val 0.54177 | AUC 0.7960 | lr 0.004104 | mom 0.956 | 177.0 min
epoca  126 | train 0.54214 | val 0.54282 | AUC 0.7953 | lr 0.004023 | mom 0.956 | 178.5 min
epoca  127 | train 0.54215 | val 0.54054 | AUC 0.7966 | lr 0.003943 | mom 0.957 | 179.9 min
epoca  128 | train 0.54209 | val 0.54023 | AUC 0.7971 | lr 0.003865 | mom 0.957 | 181.3 min
epoca  129 | train 0.54205 | val 0.53997 | AUC 0.7971 | lr 0.003789 | mom 0.958 | 182.7 min
epoca  130 | train 0.54201 | val 0.54270 | AUC 0.7953 | lr 0.003714 | mom 0.958 | 184.1 min
epoca  131 | train 0.54198 | val 0.54080 | AUC 0.7975 | lr 0.003640 | mom 0.959 | 185.5 min
epoca  132 | train 0.54200 | val 0.54084 | AUC 0.7971 | lr 0.003568 | mom 0.959 | 187.0 min
epoca  133 | train 0.54196 | val 0.54218 | AUC 0.7955 | lr 0.003497 | mom 0.959 | 188.4 min
epoca  134 | train 0.54193 | val 0.54012 | AUC 0.7972 | lr 0.003428 | mom 0.960 | 189.8 min
epoca  135 | train 0.54188 | val 0.54410 | AUC 0.7946 | lr 0.003360 | mom 0.960 | 191.2 min
epoca  136 | train 0.54188 | val 0.54334 | AUC 0.7961 | lr 0.003294 | mom 0.961 | 192.6 min
epoca  137 | train 0.54184 | val 0.54240 | AUC 0.7960 | lr 0.003229 | mom 0.961 | 194.0 min
epoca  138 | train 0.54183 | val 0.54098 | AUC 0.7964 | lr 0.003165 | mom 0.962 | 195.5 min
epoca  139 | train 0.54183 | val 0.54129 | AUC 0.7966 | lr 0.003102 | mom 0.962 | 196.9 min
epoca  140 | train 0.54181 | val 0.54105 | AUC 0.7964 | lr 0.003041 | mom 0.963 | 198.3 min
epoca  141 | train 0.54178 | val 0.54252 | AUC 0.7951 | lr 0.002980 | mom 0.963 | 199.7 min
epoca  142 | train 0.54176 | val 0.53986 | AUC 0.7973 | lr 0.002921 | mom 0.963 | 201.1 min
epoca  143 | train 0.54174 | val 0.54049 | AUC 0.7968 | lr 0.002863 | mom 0.964 | 202.5 min
epoca  144 | train 0.54170 | val 0.54072 | AUC 0.7968 | lr 0.002807 | mom 0.964 | 203.9 min
epoca  145 | train 0.54169 | val 0.53983 | AUC 0.7973 | lr 0.002751 | mom 0.965 | 205.4 min
epoca  146 | train 0.54167 | val 0.54048 | AUC 0.7967 | lr 0.002697 | mom 0.965 | 206.8 min
epoca  147 | train 0.54166 | val 0.54095 | AUC 0.7963 | lr 0.002643 | mom 0.966 | 208.2 min
epoca  148 | train 0.54166 | val 0.54333 | AUC 0.7942 | lr 0.002591 | mom 0.966 | 209.6 min
epoca  149 | train 0.54159 | val 0.54080 | AUC 0.7969 | lr 0.002540 | mom 0.967 | 211.0 min
epoca  150 | train 0.54160 | val 0.54157 | AUC 0.7966 | lr 0.002489 | mom 0.967 | 212.4 min
epoca  151 | train 0.54157 | val 0.54044 | AUC 0.7970 | lr 0.002440 | mom 0.968 | 213.9 min
epoca  152 | train 0.54152 | val 0.54084 | AUC 0.7968 | lr 0.002392 | mom 0.968 | 215.3 min
epoca  153 | train 0.54160 | val 0.54081 | AUC 0.7970 | lr 0.002344 | mom 0.968 | 216.7 min
epoca  154 | train 0.54154 | val 0.54192 | AUC 0.7958 | lr 0.002298 | mom 0.969 | 218.1 min
epoca  155 | train 0.54153 | val 0.54105 | AUC 0.7963 | lr 0.002252 | mom 0.969 | 219.5 min
epoca  156 | train 0.54150 | val 0.54108 | AUC 0.7963 | lr 0.002208 | mom 0.970 | 220.9 min
epoca  157 | train 0.54152 | val 0.54063 | AUC 0.7975 | lr 0.002164 | mom 0.970 | 222.4 min
epoca  158 | train 0.54146 | val 0.54130 | AUC 0.7963 | lr 0.002121 | mom 0.971 | 223.8 min
epoca  159 | train 0.54148 | val 0.54069 | AUC 0.7966 | lr 0.002079 | mom 0.971 | 225.2 min
epoca  160 | train 0.54149 | val 0.54176 | AUC 0.7961 | lr 0.002038 | mom 0.972 | 226.6 min
epoca  161 | train 0.54153 | val 0.54064 | AUC 0.7968 | lr 0.001998 | mom 0.972 | 228.0 min
epoca  162 | train 0.54147 | val 0.54005 | AUC 0.7972 | lr 0.001958 | mom 0.972 | 229.4 min
