============================================================
Configurazione : deep_high
Semi           : [0, 1]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
============================================================

feature set : high  (7 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 7
  colonne standardizzate a media 0       : 0


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 2,600,000 eventi, batch da 100
26,000 aggiornamenti per epoca

epoca    1 | train 0.58196 | val 0.56725 | AUC 0.7731 | lr 0.04974 | mom 0.900 | 2.4 min
epoca    2 | train 0.56325 | val 0.55773 | AUC 0.7811 | lr 0.04948 | mom 0.900 | 4.5 min
epoca    3 | train 0.55962 | val 0.55659 | AUC 0.7820 | lr 0.04923 | mom 0.901 | 7.0 min
epoca    4 | train 0.55784 | val 0.55277 | AUC 0.7876 | lr 0.04897 | mom 0.901 | 9.4 min
epoca    5 | train 0.55674 | val 0.55504 | AUC 0.7862 | lr 0.04872 | mom 0.902 | 12.0 min
epoca    6 | train 0.55592 | val 0.56154 | AUC 0.7821 | lr 0.04846 | mom 0.902 | 14.3 min
epoca    7 | train 0.55544 | val 0.54923 | AUC 0.7895 | lr 0.04821 | mom 0.903 | 15.8 min
epoca    8 | train 0.55478 | val 0.55083 | AUC 0.7881 | lr 0.04796 | mom 0.903 | 17.4 min
epoca    9 | train 0.55433 | val 0.55026 | AUC 0.7876 | lr 0.04771 | mom 0.904 | 19.3 min
epoca   10 | train 0.55403 | val 0.55010 | AUC 0.7885 | lr 0.04747 | mom 0.904 | 21.1 min
epoca   11 | train 0.55384 | val 0.55193 | AUC 0.7871 | lr 0.04722 | mom 0.904 | 22.9 min
epoca   12 | train 0.55344 | val 0.55162 | AUC 0.7892 | lr 0.04698 | mom 0.905 | 24.7 min
epoca   13 | train 0.55332 | val 0.55004 | AUC 0.7889 | lr 0.04673 | mom 0.905 | 26.5 min
epoca   14 | train 0.55327 | val 0.55124 | AUC 0.7882 | lr 0.04649 | mom 0.906 | 28.3 min
