============================================================
Configurazione : deep_high
Semi           : [2, 3, 4]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
============================================================

feature set : high  (7 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 7
  colonne standardizzate a media 0       : 0


------------------------------------------------------------
[seme 2] inizio
------------------------------------------------------------
Addestramento su cpu, 2,600,000 eventi, batch da 100
26,000 aggiornamenti per epoca

epoca    1 | train 0.58282 | val 0.56819 | AUC 0.7717 | lr 0.04974 | mom 0.900 | 2.4 min
epoca    2 | train 0.56237 | val 0.55360 | AUC 0.7848 | lr 0.04948 | mom 0.900 | 4.5 min
epoca    3 | train 0.55913 | val 0.55465 | AUC 0.7847 | lr 0.04923 | mom 0.901 | 7.0 min
epoca    4 | train 0.55735 | val 0.55448 | AUC 0.7861 | lr 0.04897 | mom 0.901 | 9.4 min
epoca    5 | train 0.55631 | val 0.56048 | AUC 0.7791 | lr 0.04872 | mom 0.902 | 11.9 min
epoca    6 | train 0.55562 | val 0.55454 | AUC 0.7870 | lr 0.04846 | mom 0.902 | 14.1 min
epoca    7 | train 0.55490 | val 0.55867 | AUC 0.7838 | lr 0.04821 | mom 0.903 | 15.7 min
epoca    8 | train 0.55455 | val 0.55326 | AUC 0.7864 | lr 0.04796 | mom 0.903 | 17.3 min
epoca    9 | train 0.55405 | val 0.54987 | AUC 0.7895 | lr 0.04771 | mom 0.904 | 19.1 min
epoca   10 | train 0.55390 | val 0.55106 | AUC 0.7878 | lr 0.04747 | mom 0.904 | 20.9 min
epoca   11 | train 0.55360 | val 0.54992 | AUC 0.7884 | lr 0.04722 | mom 0.904 | 22.8 min
epoca   12 | train 0.55342 | val 0.55278 | AUC 0.7867 | lr 0.04698 | mom 0.905 | 24.5 min
epoca   13 | train 0.55335 | val 0.55213 | AUC 0.7866 | lr 0.04673 | mom 0.905 | 26.3 min
epoca   14 | train 0.55313 | val 0.55228 | AUC 0.7885 | lr 0.04649 | mom 0.906 | 28.1 min
epoca   15 | train 0.55308 | val 0.55529 | AUC 0.7842 | lr 0.04625 | mom 0.906 | 30.0 min
epoca   16 | train 0.55280 | val 0.55740 | AUC 0.7848 | lr 0.04601 | mom 0.907 | 31.8 min
epoca   17 | train 0.55279 | val 0.55177 | AUC 0.7865 | lr 0.04577 | mom 0.907 | 33.5 min
epoca   18 | train 0.55262 | val 0.55843 | AUC 0.7818 | lr 0.04553 | mom 0.908 | 35.3 min
epoca   19 | train 0.55258 | val 0.54950 | AUC 0.7885 | lr 0.04530 | mom 0.908 | 37.1 min
epoca   20 | train 0.55257 | val 0.56686 | AUC 0.7824 | lr 0.04506 | mom 0.909 | 38.9 min
epoca   21 | train 0.55231 | val 0.55410 | AUC 0.7865 | lr 0.04483 | mom 0.909 | 40.7 min
epoca   22 | train 0.55226 | val 0.55029 | AUC 0.7889 | lr 0.04460 | mom 0.909 | 42.6 min
epoca   23 | train 0.55235 | val 0.54940 | AUC 0.7886 | lr 0.04436 | mom 0.910 | 44.4 min
epoca   24 | train 0.55239 | val 0.54969 | AUC 0.7899 | lr 0.04413 | mom 0.910 | 46.3 min
epoca   25 | train 0.55210 | val 0.54552 | AUC 0.7923 | lr 0.04390 | mom 0.911 | 48.1 min
epoca   26 | train 0.55212 | val 0.55199 | AUC 0.7893 | lr 0.04368 | mom 0.911 | 49.9 min
