============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme0

epoca    1 | train 0.59645 | val 0.57113 | AUC 0.7743 | lr 0.049010 | mom 0.900 | 1.4 min
epoca    2 | train 0.56235 | val 0.55402 | AUC 0.7876 | lr 0.048039 | mom 0.900 | 2.8 min
epoca    3 | train 0.55167 | val 0.54799 | AUC 0.7915 | lr 0.047088 | mom 0.901 | 4.2 min
epoca    4 | train 0.54352 | val 0.53740 | AUC 0.8039 | lr 0.046156 | mom 0.901 | 5.7 min
epoca    5 | train 0.53592 | val 0.53878 | AUC 0.8055 | lr 0.045242 | mom 0.902 | 7.1 min
epoca    6 | train 0.53115 | val 0.52956 | AUC 0.8111 | lr 0.044346 | mom 0.902 | 8.5 min
epoca    7 | train 0.52769 | val 0.52062 | AUC 0.8165 | lr 0.043468 | mom 0.903 | 9.9 min
epoca    8 | train 0.52530 | val 0.51999 | AUC 0.8175 | lr 0.042607 | mom 0.903 | 11.3 min
epoca    9 | train 0.52253 | val 0.51893 | AUC 0.8180 | lr 0.041764 | mom 0.904 | 12.7 min
epoca   10 | train 0.52017 | val 0.52748 | AUC 0.8187 | lr 0.040937 | mom 0.904 | 14.2 min
epoca   11 | train 0.51805 | val 0.53344 | AUC 0.8203 | lr 0.040126 | mom 0.904 | 15.6 min
epoca   12 | train 0.51627 | val 0.51727 | AUC 0.8213 | lr 0.039331 | mom 0.905 | 17.0 min
epoca   13 | train 0.51484 | val 0.51004 | AUC 0.8265 | lr 0.038553 | mom 0.905 | 18.4 min
epoca   14 | train 0.51375 | val 0.51024 | AUC 0.8250 | lr 0.037789 | mom 0.906 | 19.8 min
epoca   15 | train 0.51227 | val 0.51234 | AUC 0.8253 | lr 0.037041 | mom 0.906 | 21.2 min
epoca   16 | train 0.51110 | val 0.50770 | AUC 0.8271 | lr 0.036307 | mom 0.907 | 22.7 min
epoca   17 | train 0.51003 | val 0.50962 | AUC 0.8271 | lr 0.035589 | mom 0.907 | 24.1 min
epoca   18 | train 0.50905 | val 0.50577 | AUC 0.8289 | lr 0.034884 | mom 0.908 | 25.5 min
epoca   19 | train 0.50808 | val 0.50375 | AUC 0.8301 | lr 0.034193 | mom 0.908 | 26.9 min
epoca   20 | train 0.50711 | val 0.51117 | AUC 0.8289 | lr 0.033516 | mom 0.909 | 28.3 min
epoca   21 | train 0.50605 | val 0.50521 | AUC 0.8306 | lr 0.032852 | mom 0.909 | 29.7 min
epoca   22 | train 0.50532 | val 0.50034 | AUC 0.8328 | lr 0.032202 | mom 0.909 | 31.2 min
epoca   23 | train 0.50443 | val 0.50530 | AUC 0.8308 | lr 0.031564 | mom 0.910 | 32.6 min
