============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [3, 4]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 3] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme3

epoca    1 | train 0.59249 | val 0.56303 | AUC 0.7802 | lr 0.049010 | mom 0.900 | 1.4 min
epoca    2 | train 0.55854 | val 0.54875 | AUC 0.7915 | lr 0.048039 | mom 0.900 | 2.9 min
epoca    3 | train 0.54944 | val 0.54790 | AUC 0.7978 | lr 0.047088 | mom 0.901 | 4.3 min
epoca    4 | train 0.54377 | val 0.53809 | AUC 0.8018 | lr 0.046156 | mom 0.901 | 5.7 min
epoca    5 | train 0.53890 | val 0.53599 | AUC 0.8037 | lr 0.045242 | mom 0.902 | 7.1 min
epoca    6 | train 0.53342 | val 0.53081 | AUC 0.8073 | lr 0.044346 | mom 0.902 | 8.6 min
epoca    7 | train 0.52913 | val 0.52917 | AUC 0.8102 | lr 0.043468 | mom 0.903 | 10.0 min
epoca    8 | train 0.52579 | val 0.52625 | AUC 0.8127 | lr 0.042607 | mom 0.903 | 11.4 min
epoca    9 | train 0.52270 | val 0.53456 | AUC 0.8148 | lr 0.041764 | mom 0.904 | 12.8 min
epoca   10 | train 0.52060 | val 0.51759 | AUC 0.8199 | lr 0.040937 | mom 0.904 | 14.2 min
epoca   11 | train 0.51889 | val 0.51623 | AUC 0.8200 | lr 0.040126 | mom 0.904 | 15.7 min
epoca   12 | train 0.51743 | val 0.51848 | AUC 0.8214 | lr 0.039331 | mom 0.905 | 17.1 min
epoca   13 | train 0.51597 | val 0.51518 | AUC 0.8225 | lr 0.038553 | mom 0.905 | 18.5 min
epoca   14 | train 0.51486 | val 0.51144 | AUC 0.8241 | lr 0.037789 | mom 0.906 | 19.9 min
epoca   15 | train 0.51369 | val 0.50936 | AUC 0.8259 | lr 0.037041 | mom 0.906 | 21.4 min
epoca   16 | train 0.51250 | val 0.50949 | AUC 0.8264 | lr 0.036307 | mom 0.907 | 22.8 min
epoca   17 | train 0.51141 | val 0.50883 | AUC 0.8262 | lr 0.035589 | mom 0.907 | 24.2 min
epoca   18 | train 0.51015 | val 0.50602 | AUC 0.8286 | lr 0.034884 | mom 0.908 | 25.6 min
epoca   19 | train 0.50896 | val 0.51438 | AUC 0.8286 | lr 0.034193 | mom 0.908 | 27.1 min
epoca   20 | train 0.50789 | val 0.51117 | AUC 0.8271 | lr 0.033516 | mom 0.909 | 28.5 min
epoca   21 | train 0.50679 | val 0.50814 | AUC 0.8296 | lr 0.032852 | mom 0.909 | 29.9 min
epoca   22 | train 0.50549 | val 0.51492 | AUC 0.8285 | lr 0.032202 | mom 0.909 | 31.3 min
epoca   23 | train 0.50448 | val 0.51653 | AUC 0.8310 | lr 0.031564 | mom 0.910 | 32.8 min
epoca   24 | train 0.50353 | val 0.49904 | AUC 0.8338 | lr 0.030939 | mom 0.910 | 34.2 min
epoca   25 | train 0.50245 | val 0.50252 | AUC 0.8328 | lr 0.030327 | mom 0.911 | 35.6 min
epoca   26 | train 0.50144 | val 0.50052 | AUC 0.8333 | lr 0.029726 | mom 0.911 | 37.0 min
epoca   27 | train 0.50033 | val 0.50148 | AUC 0.8338 | lr 0.029137 | mom 0.912 | 38.5 min
epoca   28 | train 0.49958 | val 0.49963 | AUC 0.8339 | lr 0.028560 | mom 0.912 | 39.9 min
epoca   29 | train 0.49873 | val 0.49307 | AUC 0.8383 | lr 0.027995 | mom 0.913 | 41.3 min
epoca   30 | train 0.49795 | val 0.49407 | AUC 0.8382 | lr 0.027441 | mom 0.913 | 42.7 min
epoca   31 | train 0.49724 | val 0.49577 | AUC 0.8366 | lr 0.026897 | mom 0.913 | 44.2 min
epoca   32 | train 0.49662 | val 0.49749 | AUC 0.8368 | lr 0.026365 | mom 0.914 | 45.6 min
epoca   33 | train 0.49606 | val 0.49468 | AUC 0.8372 | lr 0.025843 | mom 0.914 | 47.0 min
epoca   34 | train 0.49545 | val 0.49550 | AUC 0.8382 | lr 0.025331 | mom 0.915 | 48.4 min
epoca   35 | train 0.49485 | val 0.49650 | AUC 0.8367 | lr 0.024829 | mom 0.915 | 49.9 min
epoca   36 | train 0.49429 | val 0.49189 | AUC 0.8393 | lr 0.024338 | mom 0.916 | 51.3 min
epoca   37 | train 0.49370 | val 0.49241 | AUC 0.8395 | lr 0.023856 | mom 0.916 | 52.7 min
epoca   38 | train 0.49298 | val 0.49190 | AUC 0.8394 | lr 0.023383 | mom 0.917 | 54.1 min
epoca   39 | train 0.49242 | val 0.49072 | AUC 0.8408 | lr 0.022920 | mom 0.917 | 55.6 min
epoca   40 | train 0.49179 | val 0.49182 | AUC 0.8390 | lr 0.022466 | mom 0.918 | 57.0 min
epoca   41 | train 0.49122 | val 0.48999 | AUC 0.8414 | lr 0.022022 | mom 0.918 | 58.4 min
epoca   42 | train 0.49062 | val 0.49491 | AUC 0.8428 | lr 0.021586 | mom 0.918 | 59.8 min
epoca   43 | train 0.49011 | val 0.49256 | AUC 0.8408 | lr 0.021158 | mom 0.919 | 61.3 min
epoca   44 | train 0.48950 | val 0.49095 | AUC 0.8399 | lr 0.020739 | mom 0.919 | 62.7 min
epoca   45 | train 0.48906 | val 0.49698 | AUC 0.8422 | lr 0.020328 | mom 0.920 | 64.1 min
epoca   46 | train 0.48849 | val 0.49262 | AUC 0.8424 | lr 0.019926 | mom 0.920 | 65.5 min
epoca   47 | train 0.48804 | val 0.49029 | AUC 0.8421 | lr 0.019531 | mom 0.921 | 67.0 min
epoca   48 | train 0.48746 | val 0.48508 | AUC 0.8447 | lr 0.019145 | mom 0.921 | 68.4 min
epoca   49 | train 0.48693 | val 0.48615 | AUC 0.8439 | lr 0.018766 | mom 0.922 | 69.8 min
epoca   50 | train 0.48641 | val 0.48448 | AUC 0.8451 | lr 0.018394 | mom 0.922 | 71.2 min
epoca   51 | train 0.48589 | val 0.48579 | AUC 0.8443 | lr 0.018030 | mom 0.922 | 72.7 min
epoca   52 | train 0.48532 | val 0.49545 | AUC 0.8415 | lr 0.017673 | mom 0.923 | 74.1 min
epoca   53 | train 0.48488 | val 0.48288 | AUC 0.8461 | lr 0.017323 | mom 0.923 | 75.5 min
epoca   54 | train 0.48432 | val 0.48448 | AUC 0.8448 | lr 0.016980 | mom 0.924 | 76.9 min
epoca   55 | train 0.48386 | val 0.48699 | AUC 0.8434 | lr 0.016644 | mom 0.924 | 78.4 min
epoca   56 | train 0.48338 | val 0.48880 | AUC 0.8423 | lr 0.016314 | mom 0.925 | 79.8 min
epoca   57 | train 0.48293 | val 0.47943 | AUC 0.8482 | lr 0.015991 | mom 0.925 | 81.2 min
epoca   58 | train 0.48255 | val 0.48579 | AUC 0.8443 | lr 0.015674 | mom 0.926 | 82.6 min
epoca   59 | train 0.48208 | val 0.48681 | AUC 0.8430 | lr 0.015364 | mom 0.926 | 84.1 min
epoca   60 | train 0.48162 | val 0.47969 | AUC 0.8485 | lr 0.015060 | mom 0.927 | 85.5 min
epoca   61 | train 0.48116 | val 0.48694 | AUC 0.8460 | lr 0.014762 | mom 0.927 | 86.9 min
epoca   62 | train 0.48068 | val 0.47994 | AUC 0.8484 | lr 0.014469 | mom 0.927 | 88.3 min
epoca   63 | train 0.48019 | val 0.47646 | AUC 0.8503 | lr 0.014183 | mom 0.928 | 89.8 min
epoca   64 | train 0.47976 | val 0.48651 | AUC 0.8470 | lr 0.013902 | mom 0.928 | 91.2 min
epoca   65 | train 0.47930 | val 0.47845 | AUC 0.8490 | lr 0.013627 | mom 0.929 | 92.6 min
epoca   66 | train 0.47888 | val 0.48118 | AUC 0.8489 | lr 0.013357 | mom 0.929 | 94.0 min
epoca   67 | train 0.47848 | val 0.47716 | AUC 0.8499 | lr 0.013092 | mom 0.930 | 95.5 min
epoca   68 | train 0.47807 | val 0.47858 | AUC 0.8494 | lr 0.012833 | mom 0.930 | 96.9 min
epoca   69 | train 0.47757 | val 0.47910 | AUC 0.8500 | lr 0.012579 | mom 0.931 | 98.3 min
epoca   70 | train 0.47713 | val 0.48210 | AUC 0.8489 | lr 0.012330 | mom 0.931 | 99.7 min
epoca   71 | train 0.47666 | val 0.47686 | AUC 0.8503 | lr 0.012086 | mom 0.931 | 101.2 min
epoca   72 | train 0.47612 | val 0.47808 | AUC 0.8526 | lr 0.011846 | mom 0.932 | 102.6 min
epoca   73 | train 0.47566 | val 0.47786 | AUC 0.8499 | lr 0.011612 | mom 0.932 | 104.0 min
epoca   74 | train 0.47528 | val 0.47993 | AUC 0.8525 | lr 0.011382 | mom 0.933 | 105.4 min
epoca   75 | train 0.47487 | val 0.47562 | AUC 0.8516 | lr 0.011157 | mom 0.933 | 106.9 min
epoca   76 | train 0.47439 | val 0.47528 | AUC 0.8515 | lr 0.010936 | mom 0.934 | 108.3 min
