============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [0, 1, 2]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 2,600,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
26,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme0

epoca    1 | train 0.62898 | val 0.60327 | AUC 0.7323 | lr 0.049741 | mom 0.900 | 0.3 min
epoca    2 | train 0.59365 | val 0.57960 | AUC 0.7607 | lr 0.049483 | mom 0.900 | 0.6 min
epoca    3 | train 0.57829 | val 0.57432 | AUC 0.7683 | lr 0.049226 | mom 0.901 | 0.9 min
epoca    4 | train 0.56899 | val 0.56324 | AUC 0.7800 | lr 0.048971 | mom 0.901 | 1.2 min
epoca    5 | train 0.56301 | val 0.55839 | AUC 0.7828 | lr 0.048717 | mom 0.902 | 1.5 min
epoca    6 | train 0.55893 | val 0.55446 | AUC 0.7869 | lr 0.048464 | mom 0.902 | 1.8 min
epoca    7 | train 0.55580 | val 0.55339 | AUC 0.7879 | lr 0.048213 | mom 0.903 | 2.1 min
epoca    8 | train 0.55314 | val 0.55410 | AUC 0.7904 | lr 0.047963 | mom 0.903 | 2.4 min
epoca    9 | train 0.55065 | val 0.55003 | AUC 0.7934 | lr 0.047714 | mom 0.904 | 2.7 min
epoca   10 | train 0.54819 | val 0.54721 | AUC 0.7948 | lr 0.047466 | mom 0.904 | 2.9 min
epoca   11 | train 0.54561 | val 0.54979 | AUC 0.7951 | lr 0.047220 | mom 0.904 | 3.2 min
epoca   12 | train 0.54314 | val 0.54509 | AUC 0.7963 | lr 0.046975 | mom 0.905 | 3.5 min
epoca   13 | train 0.54147 | val 0.54141 | AUC 0.7982 | lr 0.046732 | mom 0.905 | 3.8 min
epoca   14 | train 0.53975 | val 0.53699 | AUC 0.8025 | lr 0.046489 | mom 0.906 | 4.1 min
epoca   15 | train 0.53833 | val 0.53762 | AUC 0.8029 | lr 0.046248 | mom 0.906 | 4.4 min
epoca   16 | train 0.53699 | val 0.54120 | AUC 0.8001 | lr 0.046008 | mom 0.907 | 4.6 min
epoca   17 | train 0.53560 | val 0.54154 | AUC 0.8015 | lr 0.045770 | mom 0.907 | 4.9 min
epoca   18 | train 0.53440 | val 0.53554 | AUC 0.8066 | lr 0.045532 | mom 0.908 | 5.2 min
epoca   19 | train 0.53297 | val 0.53367 | AUC 0.8068 | lr 0.045296 | mom 0.908 | 5.5 min
epoca   20 | train 0.53142 | val 0.53007 | AUC 0.8096 | lr 0.045061 | mom 0.909 | 5.8 min
epoca   21 | train 0.53031 | val 0.53230 | AUC 0.8085 | lr 0.044828 | mom 0.909 | 6.0 min
epoca   22 | train 0.52961 | val 0.53000 | AUC 0.8083 | lr 0.044595 | mom 0.909 | 6.3 min
epoca   23 | train 0.52894 | val 0.53146 | AUC 0.8100 | lr 0.044364 | mom 0.910 | 6.6 min
epoca   24 | train 0.52790 | val 0.53074 | AUC 0.8080 | lr 0.044134 | mom 0.910 | 6.9 min
epoca   25 | train 0.52737 | val 0.53002 | AUC 0.8112 | lr 0.043905 | mom 0.911 | 7.2 min
epoca   26 | train 0.52688 | val 0.54016 | AUC 0.8094 | lr 0.043677 | mom 0.911 | 7.4 min
epoca   27 | train 0.52658 | val 0.53084 | AUC 0.8119 | lr 0.043451 | mom 0.912 | 7.7 min
epoca   28 | train 0.52575 | val 0.52882 | AUC 0.8128 | lr 0.043225 | mom 0.912 | 8.0 min
epoca   29 | train 0.52523 | val 0.53115 | AUC 0.8121 | lr 0.043001 | mom 0.913 | 8.3 min
epoca   30 | train 0.52490 | val 0.54041 | AUC 0.8123 | lr 0.042778 | mom 0.913 | 8.6 min
epoca   31 | train 0.52457 | val 0.52734 | AUC 0.8146 | lr 0.042556 | mom 0.913 | 8.9 min
epoca   32 | train 0.52382 | val 0.52800 | AUC 0.8150 | lr 0.042335 | mom 0.914 | 9.1 min
epoca   33 | train 0.52332 | val 0.52640 | AUC 0.8139 | lr 0.042116 | mom 0.914 | 9.4 min
epoca   34 | train 0.52314 | val 0.52455 | AUC 0.8151 | lr 0.041897 | mom 0.915 | 9.7 min
epoca   35 | train 0.52272 | val 0.52579 | AUC 0.8121 | lr 0.041680 | mom 0.915 | 10.0 min
epoca   36 | train 0.52207 | val 0.52507 | AUC 0.8130 | lr 0.041464 | mom 0.916 | 10.3 min
epoca   37 | train 0.52187 | val 0.52650 | AUC 0.8134 | lr 0.041249 | mom 0.916 | 10.6 min
epoca   38 | train 0.52158 | val 0.52346 | AUC 0.8158 | lr 0.041035 | mom 0.917 | 10.9 min
epoca   39 | train 0.52136 | val 0.52627 | AUC 0.8149 | lr 0.040822 | mom 0.917 | 11.2 min
epoca   40 | train 0.52065 | val 0.52237 | AUC 0.8160 | lr 0.040610 | mom 0.918 | 11.5 min
epoca   41 | train 0.52057 | val 0.52905 | AUC 0.8134 | lr 0.040400 | mom 0.918 | 11.7 min
epoca   42 | train 0.52022 | val 0.52522 | AUC 0.8151 | lr 0.040190 | mom 0.918 | 12.0 min
epoca   43 | train 0.51995 | val 0.52427 | AUC 0.8144 | lr 0.039982 | mom 0.919 | 12.3 min
epoca   44 | train 0.51973 | val 0.52274 | AUC 0.8154 | lr 0.039774 | mom 0.919 | 12.6 min
epoca   45 | train 0.51968 | val 0.52154 | AUC 0.8165 | lr 0.039568 | mom 0.920 | 12.9 min
epoca   46 | train 0.51935 | val 0.52404 | AUC 0.8161 | lr 0.039363 | mom 0.920 | 13.2 min
epoca   47 | train 0.51896 | val 0.52186 | AUC 0.8160 | lr 0.039159 | mom 0.921 | 13.5 min
epoca   48 | train 0.51870 | val 0.52090 | AUC 0.8171 | lr 0.038956 | mom 0.921 | 13.8 min
epoca   49 | train 0.51876 | val 0.51961 | AUC 0.8177 | lr 0.038754 | mom 0.922 | 14.1 min
epoca   50 | train 0.51866 | val 0.52105 | AUC 0.8176 | lr 0.038553 | mom 0.922 | 14.4 min
epoca   51 | train 0.51844 | val 0.52416 | AUC 0.8155 | lr 0.038353 | mom 0.922 | 14.7 min
epoca   52 | train 0.51835 | val 0.52026 | AUC 0.8172 | lr 0.038154 | mom 0.923 | 15.0 min
epoca   53 | train 0.51807 | val 0.52417 | AUC 0.8163 | lr 0.037956 | mom 0.923 | 15.2 min
epoca   54 | train 0.51785 | val 0.52089 | AUC 0.8177 | lr 0.037759 | mom 0.924 | 15.5 min
epoca   55 | train 0.51778 | val 0.52715 | AUC 0.8150 | lr 0.037563 | mom 0.924 | 15.8 min
epoca   56 | train 0.51765 | val 0.52177 | AUC 0.8157 | lr 0.037368 | mom 0.925 | 16.1 min
epoca   57 | train 0.51737 | val 0.51842 | AUC 0.8189 | lr 0.037174 | mom 0.925 | 16.4 min
epoca   58 | train 0.51743 | val 0.52233 | AUC 0.8173 | lr 0.036982 | mom 0.926 | 16.7 min
epoca   59 | train 0.51704 | val 0.53449 | AUC 0.8183 | lr 0.036790 | mom 0.926 | 16.9 min
epoca   60 | train 0.51695 | val 0.51728 | AUC 0.8195 | lr 0.036599 | mom 0.927 | 17.2 min
epoca   61 | train 0.51699 | val 0.52094 | AUC 0.8165 | lr 0.036409 | mom 0.927 | 17.5 min
epoca   62 | train 0.51702 | val 0.51970 | AUC 0.8183 | lr 0.036220 | mom 0.927 | 17.8 min
epoca   63 | train 0.51674 | val 0.52694 | AUC 0.8196 | lr 0.036033 | mom 0.928 | 18.1 min
epoca   64 | train 0.51643 | val 0.51887 | AUC 0.8198 | lr 0.035846 | mom 0.928 | 18.4 min
epoca   65 | train 0.51656 | val 0.51937 | AUC 0.8191 | lr 0.035660 | mom 0.929 | 18.7 min
epoca   66 | train 0.51623 | val 0.51797 | AUC 0.8189 | lr 0.035475 | mom 0.929 | 19.0 min
epoca   67 | train 0.51616 | val 0.51710 | AUC 0.8195 | lr 0.035291 | mom 0.930 | 19.3 min
epoca   68 | train 0.51591 | val 0.52647 | AUC 0.8200 | lr 0.035108 | mom 0.930 | 19.5 min
epoca   69 | train 0.51605 | val 0.51861 | AUC 0.8191 | lr 0.034926 | mom 0.931 | 19.8 min
epoca   70 | train 0.51591 | val 0.52198 | AUC 0.8215 | lr 0.034745 | mom 0.931 | 20.1 min
epoca   71 | train 0.51555 | val 0.51977 | AUC 0.8199 | lr 0.034564 | mom 0.931 | 20.4 min
epoca   72 | train 0.51561 | val 0.51616 | AUC 0.8202 | lr 0.034385 | mom 0.932 | 20.7 min
epoca   73 | train 0.51581 | val 0.53415 | AUC 0.8183 | lr 0.034207 | mom 0.932 | 21.0 min
epoca   74 | train 0.51534 | val 0.51919 | AUC 0.8202 | lr 0.034029 | mom 0.933 | 21.3 min
epoca   75 | train 0.51555 | val 0.51757 | AUC 0.8202 | lr 0.033853 | mom 0.933 | 21.6 min
epoca   76 | train 0.51529 | val 0.51900 | AUC 0.8193 | lr 0.033677 | mom 0.934 | 21.8 min
epoca   77 | train 0.51495 | val 0.52601 | AUC 0.8182 | lr 0.033503 | mom 0.934 | 22.1 min
epoca   78 | train 0.51513 | val 0.51915 | AUC 0.8198 | lr 0.033329 | mom 0.935 | 22.4 min
epoca   79 | train 0.51529 | val 0.51668 | AUC 0.8207 | lr 0.033156 | mom 0.935 | 22.7 min
epoca   80 | train 0.51544 | val 0.52057 | AUC 0.8214 | lr 0.032984 | mom 0.936 | 23.0 min
epoca   81 | train 0.51496 | val 0.52586 | AUC 0.8186 | lr 0.032813 | mom 0.936 | 23.3 min
epoca   82 | train 0.51484 | val 0.51775 | AUC 0.8206 | lr 0.032643 | mom 0.936 | 23.6 min
epoca   83 | train 0.51481 | val 0.51726 | AUC 0.8200 | lr 0.032473 | mom 0.937 | 23.9 min
epoca   84 | train 0.51490 | val 0.51969 | AUC 0.8199 | lr 0.032305 | mom 0.937 | 24.2 min
epoca   85 | train 0.51478 | val 0.52014 | AUC 0.8222 | lr 0.032137 | mom 0.938 | 24.4 min
epoca   86 | train 0.51486 | val 0.51647 | AUC 0.8213 | lr 0.031971 | mom 0.938 | 24.7 min
epoca   87 | train 0.51482 | val 0.51706 | AUC 0.8197 | lr 0.031805 | mom 0.939 | 25.0 min
epoca   88 | train 0.51452 | val 0.51771 | AUC 0.8204 | lr 0.031640 | mom 0.939 | 25.3 min
