============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [2, 3, 4, 2]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 2] inizio
------------------------------------------------------------
Addestramento su cuda, 2,600,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
26,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme2

epoca    1 | train 0.62830 | val 0.59956 | AUC 0.7374 | lr 0.049741 | mom 0.900 | 0.3 min
epoca    2 | train 0.59380 | val 0.57990 | AUC 0.7593 | lr 0.049483 | mom 0.900 | 0.6 min
epoca    3 | train 0.57865 | val 0.57164 | AUC 0.7690 | lr 0.049226 | mom 0.901 | 0.9 min
epoca    4 | train 0.56988 | val 0.57015 | AUC 0.7699 | lr 0.048971 | mom 0.901 | 1.2 min
epoca    5 | train 0.56391 | val 0.55877 | AUC 0.7831 | lr 0.048717 | mom 0.902 | 1.5 min
epoca    6 | train 0.55946 | val 0.55618 | AUC 0.7844 | lr 0.048464 | mom 0.902 | 1.8 min
epoca    7 | train 0.55640 | val 0.56630 | AUC 0.7827 | lr 0.048213 | mom 0.903 | 2.1 min
epoca    8 | train 0.55383 | val 0.55446 | AUC 0.7867 | lr 0.047963 | mom 0.903 | 2.4 min
epoca    9 | train 0.55125 | val 0.55194 | AUC 0.7908 | lr 0.047714 | mom 0.904 | 2.7 min
epoca   10 | train 0.54913 | val 0.55051 | AUC 0.7923 | lr 0.047466 | mom 0.904 | 2.9 min
epoca   11 | train 0.54661 | val 0.54730 | AUC 0.7942 | lr 0.047220 | mom 0.904 | 3.2 min
epoca   12 | train 0.54511 | val 0.54635 | AUC 0.7946 | lr 0.046975 | mom 0.905 | 3.5 min
epoca   13 | train 0.54298 | val 0.54254 | AUC 0.7993 | lr 0.046732 | mom 0.905 | 3.8 min
epoca   14 | train 0.54086 | val 0.53941 | AUC 0.7997 | lr 0.046489 | mom 0.906 | 4.1 min
epoca   15 | train 0.53880 | val 0.55130 | AUC 0.8025 | lr 0.046248 | mom 0.906 | 4.3 min
epoca   16 | train 0.53723 | val 0.54205 | AUC 0.8006 | lr 0.046008 | mom 0.907 | 4.6 min
epoca   17 | train 0.53581 | val 0.53555 | AUC 0.8035 | lr 0.045770 | mom 0.907 | 4.9 min
epoca   18 | train 0.53459 | val 0.53495 | AUC 0.8042 | lr 0.045532 | mom 0.908 | 5.2 min
epoca   19 | train 0.53350 | val 0.53160 | AUC 0.8078 | lr 0.045296 | mom 0.908 | 5.5 min
epoca   20 | train 0.53232 | val 0.53625 | AUC 0.8038 | lr 0.045061 | mom 0.909 | 5.8 min
epoca   21 | train 0.53085 | val 0.53279 | AUC 0.8071 | lr 0.044828 | mom 0.909 | 6.0 min
epoca   22 | train 0.52989 | val 0.53147 | AUC 0.8068 | lr 0.044595 | mom 0.909 | 6.3 min
epoca   23 | train 0.52919 | val 0.53499 | AUC 0.8059 | lr 0.044364 | mom 0.910 | 6.6 min
epoca   24 | train 0.52835 | val 0.52755 | AUC 0.8110 | lr 0.044134 | mom 0.910 | 6.9 min
epoca   25 | train 0.52757 | val 0.53551 | AUC 0.8111 | lr 0.043905 | mom 0.911 | 7.2 min
epoca   26 | train 0.52648 | val 0.52681 | AUC 0.8118 | lr 0.043677 | mom 0.911 | 7.4 min
epoca   27 | train 0.52574 | val 0.52857 | AUC 0.8119 | lr 0.043451 | mom 0.912 | 7.7 min
epoca   28 | train 0.52502 | val 0.52412 | AUC 0.8135 | lr 0.043225 | mom 0.912 | 8.0 min
epoca   29 | train 0.52445 | val 0.52703 | AUC 0.8119 | lr 0.043001 | mom 0.913 | 8.3 min
epoca   30 | train 0.52368 | val 0.52598 | AUC 0.8133 | lr 0.042778 | mom 0.913 | 8.6 min
epoca   31 | train 0.52322 | val 0.52951 | AUC 0.8098 | lr 0.042556 | mom 0.913 | 8.9 min
epoca   32 | train 0.52298 | val 0.53170 | AUC 0.8108 | lr 0.042335 | mom 0.914 | 9.1 min
epoca   33 | train 0.52184 | val 0.52929 | AUC 0.8120 | lr 0.042116 | mom 0.914 | 9.4 min
epoca   34 | train 0.52181 | val 0.52687 | AUC 0.8148 | lr 0.041897 | mom 0.915 | 9.7 min
epoca   35 | train 0.52123 | val 0.52204 | AUC 0.8152 | lr 0.041680 | mom 0.915 | 10.0 min
epoca   36 | train 0.52105 | val 0.52477 | AUC 0.8162 | lr 0.041464 | mom 0.916 | 10.3 min
epoca   37 | train 0.52023 | val 0.52666 | AUC 0.8130 | lr 0.041249 | mom 0.916 | 10.6 min
epoca   38 | train 0.51986 | val 0.52102 | AUC 0.8174 | lr 0.041035 | mom 0.917 | 10.9 min
epoca   39 | train 0.51980 | val 0.52238 | AUC 0.8149 | lr 0.040822 | mom 0.917 | 11.2 min
epoca   40 | train 0.51937 | val 0.52177 | AUC 0.8160 | lr 0.040610 | mom 0.918 | 11.5 min
epoca   41 | train 0.51874 | val 0.52463 | AUC 0.8194 | lr 0.040400 | mom 0.918 | 11.7 min
epoca   42 | train 0.51860 | val 0.51916 | AUC 0.8186 | lr 0.040190 | mom 0.918 | 12.0 min
epoca   43 | train 0.51807 | val 0.52689 | AUC 0.8159 | lr 0.039982 | mom 0.919 | 12.3 min
epoca   44 | train 0.51798 | val 0.52719 | AUC 0.8149 | lr 0.039774 | mom 0.919 | 12.6 min
epoca   45 | train 0.51761 | val 0.52529 | AUC 0.8180 | lr 0.039568 | mom 0.920 | 12.9 min
epoca   46 | train 0.51735 | val 0.51604 | AUC 0.8206 | lr 0.039363 | mom 0.920 | 13.2 min
epoca   47 | train 0.51703 | val 0.51690 | AUC 0.8196 | lr 0.039159 | mom 0.921 | 13.5 min
epoca   48 | train 0.51674 | val 0.52095 | AUC 0.8183 | lr 0.038956 | mom 0.921 | 13.8 min
epoca   49 | train 0.51669 | val 0.52043 | AUC 0.8195 | lr 0.038754 | mom 0.922 | 14.1 min
epoca   50 | train 0.51643 | val 0.51948 | AUC 0.8177 | lr 0.038553 | mom 0.922 | 14.4 min
epoca   51 | train 0.51642 | val 0.51912 | AUC 0.8184 | lr 0.038353 | mom 0.922 | 14.7 min
epoca   52 | train 0.51626 | val 0.51963 | AUC 0.8207 | lr 0.038154 | mom 0.923 | 14.9 min
epoca   53 | train 0.51604 | val 0.51542 | AUC 0.8216 | lr 0.037956 | mom 0.923 | 15.2 min
epoca   54 | train 0.51581 | val 0.52614 | AUC 0.8179 | lr 0.037759 | mom 0.924 | 15.5 min
epoca   55 | train 0.51552 | val 0.52142 | AUC 0.8164 | lr 0.037563 | mom 0.924 | 15.8 min
epoca   56 | train 0.51540 | val 0.51903 | AUC 0.8198 | lr 0.037368 | mom 0.925 | 16.1 min
