============================================================
Configurazione : deep_complete
Stack          : moderno  (relu + adamw)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/moderno/
Log TensorBoard: runs/moderno/
============================================================

feature set : complete  (28 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 13
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: adamw, lr iniziale 0.0021
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/moderno/deep_complete_seme0

epoca    1 | train 0.52688 | val 0.51339 | AUC 0.8253 | lr 0.002100 | mom 0.900 | 1.8 min
epoca    2 | train 0.51036 | val 0.51112 | AUC 0.8251 | lr 0.002100 | mom 0.900 | 3.7 min
epoca    3 | train 0.50872 | val 0.50557 | AUC 0.8284 | lr 0.002100 | mom 0.900 | 5.5 min
epoca    4 | train 0.50836 | val 0.51210 | AUC 0.8254 | lr 0.002100 | mom 0.900 | 7.3 min
epoca    5 | train 0.50821 | val 0.50984 | AUC 0.8253 | lr 0.002100 | mom 0.900 | 9.1 min
epoca    6 | train 0.50834 | val 0.50629 | AUC 0.8290 | lr 0.002100 | mom 0.900 | 11.0 min
epoca    7 | train 0.50830 | val 0.51008 | AUC 0.8257 | lr 0.001050 | mom 0.900 | 12.8 min
epoca    8 | train 0.49407 | val 0.49153 | AUC 0.8392 | lr 0.001050 | mom 0.900 | 14.6 min
epoca    9 | train 0.49546 | val 0.49172 | AUC 0.8390 | lr 0.001050 | mom 0.900 | 16.4 min
epoca   10 | train 0.49572 | val 0.49379 | AUC 0.8379 | lr 0.001050 | mom 0.900 | 18.3 min
epoca   11 | train 0.49541 | val 0.49253 | AUC 0.8394 | lr 0.001050 | mom 0.900 | 20.1 min
epoca   12 | train 0.49517 | val 0.49498 | AUC 0.8389 | lr 0.000525 | mom 0.900 | 21.9 min
epoca   13 | train 0.48378 | val 0.48195 | AUC 0.8461 | lr 0.000525 | mom 0.900 | 23.7 min
epoca   14 | train 0.48460 | val 0.48442 | AUC 0.8452 | lr 0.000525 | mom 0.900 | 25.6 min
epoca   15 | train 0.48507 | val 0.48278 | AUC 0.8456 | lr 0.000525 | mom 0.900 | 27.4 min
epoca   16 | train 0.48519 | val 0.48941 | AUC 0.8426 | lr 0.000525 | mom 0.900 | 29.2 min
epoca   17 | train 0.48518 | val 0.48660 | AUC 0.8431 | lr 0.000262 | mom 0.900 | 31.0 min
epoca   18 | train 0.47714 | val 0.47577 | AUC 0.8506 | lr 0.000262 | mom 0.900 | 32.8 min
epoca   19 | train 0.47712 | val 0.47730 | AUC 0.8493 | lr 0.000262 | mom 0.900 | 34.7 min
epoca   20 | train 0.47751 | val 0.47640 | AUC 0.8505 | lr 0.000262 | mom 0.900 | 36.5 min
epoca   21 | train 0.47775 | val 0.47619 | AUC 0.8502 | lr 0.000262 | mom 0.900 | 38.3 min
epoca   22 | train 0.47790 | val 0.47708 | AUC 0.8500 | lr 0.000131 | mom 0.900 | 40.1 min
epoca   23 | train 0.47257 | val 0.47453 | AUC 0.8517 | lr 0.000131 | mom 0.900 | 42.0 min
epoca   24 | train 0.47248 | val 0.47399 | AUC 0.8521 | lr 0.000131 | mom 0.900 | 43.8 min
epoca   25 | train 0.47256 | val 0.47252 | AUC 0.8528 | lr 0.000131 | mom 0.900 | 45.6 min
epoca   26 | train 0.47262 | val 0.47127 | AUC 0.8539 | lr 0.000131 | mom 0.900 | 47.4 min
epoca   27 | train 0.47272 | val 0.47296 | AUC 0.8527 | lr 0.000131 | mom 0.900 | 49.3 min
