============================================================
Configurazione : deep_low
Stack          : moderno  (relu + adamw)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/moderno/
Log TensorBoard: runs/moderno/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: adamw, lr iniziale 0.0021
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/moderno/deep_low_seme0

epoca    1 | train 0.57300 | val 0.55233 | AUC 0.7884 | lr 0.002100 | mom 0.900 | 1.6 min
epoca    2 | train 0.54410 | val 0.53744 | AUC 0.8014 | lr 0.002100 | mom 0.900 | 3.4 min
epoca    3 | train 0.53581 | val 0.53231 | AUC 0.8069 | lr 0.002100 | mom 0.900 | 5.2 min
epoca    4 | train 0.53362 | val 0.53082 | AUC 0.8078 | lr 0.002100 | mom 0.900 | 7.1 min
epoca    5 | train 0.53251 | val 0.53251 | AUC 0.8069 | lr 0.002100 | mom 0.900 | 8.9 min
epoca    6 | train 0.53172 | val 0.52923 | AUC 0.8090 | lr 0.002100 | mom 0.900 | 10.7 min
epoca    7 | train 0.53032 | val 0.52991 | AUC 0.8087 | lr 0.002100 | mom 0.900 | 12.5 min
epoca    8 | train 0.52978 | val 0.52738 | AUC 0.8107 | lr 0.002100 | mom 0.900 | 14.4 min
epoca    9 | train 0.52950 | val 0.52655 | AUC 0.8109 | lr 0.002100 | mom 0.900 | 16.2 min
epoca   10 | train 0.52941 | val 0.52657 | AUC 0.8111 | lr 0.002100 | mom 0.900 | 18.0 min
epoca   11 | train 0.52909 | val 0.53430 | AUC 0.8106 | lr 0.002100 | mom 0.900 | 19.8 min
epoca   12 | train 0.52898 | val 0.52994 | AUC 0.8086 | lr 0.002100 | mom 0.900 | 21.7 min
epoca   13 | train 0.52884 | val 0.52564 | AUC 0.8120 | lr 0.002100 | mom 0.900 | 23.5 min
epoca   14 | train 0.52872 | val 0.52756 | AUC 0.8107 | lr 0.002100 | mom 0.900 | 25.3 min
epoca   15 | train 0.52858 | val 0.52463 | AUC 0.8140 | lr 0.002100 | mom 0.900 | 27.1 min
epoca   16 | train 0.52855 | val 0.52785 | AUC 0.8104 | lr 0.002100 | mom 0.900 | 28.9 min
epoca   17 | train 0.52853 | val 0.52749 | AUC 0.8105 | lr 0.002100 | mom 0.900 | 30.8 min
epoca   18 | train 0.52844 | val 0.52845 | AUC 0.8094 | lr 0.002100 | mom 0.900 | 32.6 min
epoca   19 | train 0.52851 | val 0.52504 | AUC 0.8128 | lr 0.001050 | mom 0.900 | 34.4 min
epoca   20 | train 0.50851 | val 0.51108 | AUC 0.8248 | lr 0.001050 | mom 0.900 | 36.2 min
epoca   21 | train 0.51006 | val 0.50948 | AUC 0.8253 | lr 0.001050 | mom 0.900 | 38.1 min
epoca   22 | train 0.51052 | val 0.50928 | AUC 0.8256 | lr 0.001050 | mom 0.900 | 39.9 min
epoca   23 | train 0.51032 | val 0.52020 | AUC 0.8187 | lr 0.001050 | mom 0.900 | 41.7 min
epoca   24 | train 0.51024 | val 0.51302 | AUC 0.8240 | lr 0.001050 | mom 0.900 | 43.5 min
epoca   25 | train 0.51018 | val 0.50785 | AUC 0.8279 | lr 0.001050 | mom 0.900 | 45.4 min
epoca   26 | train 0.50999 | val 0.51390 | AUC 0.8219 | lr 0.001050 | mom 0.900 | 47.2 min
epoca   27 | train 0.50986 | val 0.51013 | AUC 0.8249 | lr 0.001050 | mom 0.900 | 49.0 min
epoca   28 | train 0.50974 | val 0.51240 | AUC 0.8250 | lr 0.001050 | mom 0.900 | 50.8 min
