============================================================
Configurazione : shallow_complete
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : complete  (28 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 13
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/alice/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_complete_seme0

epoca    1 | train 0.57154 | val 0.56067 | AUC 0.7854 | lr 0.049010 | mom 0.900 | 1.6 min
epoca    2 | train 0.55694 | val 0.55316 | AUC 0.7887 | lr 0.048039 | mom 0.900 | 3.0 min
epoca    3 | train 0.55413 | val 0.55386 | AUC 0.7909 | lr 0.047088 | mom 0.901 | 4.1 min
epoca    4 | train 0.55259 | val 0.54629 | AUC 0.7943 | lr 0.046156 | mom 0.901 | 5.3 min
epoca    5 | train 0.54977 | val 0.54735 | AUC 0.7938 | lr 0.045242 | mom 0.902 | 6.6 min
epoca    6 | train 0.54893 | val 0.55558 | AUC 0.7927 | lr 0.044346 | mom 0.902 | 7.6 min
epoca    7 | train 0.54837 | val 0.55124 | AUC 0.7932 | lr 0.043468 | mom 0.903 | 8.8 min
epoca    8 | train 0.54788 | val 0.55177 | AUC 0.7972 | lr 0.042607 | mom 0.903 | 10.0 min
epoca    9 | train 0.54729 | val 0.54418 | AUC 0.7968 | lr 0.041764 | mom 0.904 | 11.4 min
epoca   10 | train 0.54694 | val 0.54454 | AUC 0.7977 | lr 0.040937 | mom 0.904 | 12.8 min
epoca   11 | train 0.54674 | val 0.54439 | AUC 0.7966 | lr 0.040126 | mom 0.904 | 14.2 min
epoca   12 | train 0.54671 | val 0.54616 | AUC 0.7995 | lr 0.039331 | mom 0.905 | 15.5 min
epoca   13 | train 0.54640 | val 0.54268 | AUC 0.7983 | lr 0.038553 | mom 0.905 | 16.9 min
epoca   14 | train 0.54633 | val 0.54804 | AUC 0.7994 | lr 0.037789 | mom 0.906 | 18.2 min
epoca   15 | train 0.54616 | val 0.54401 | AUC 0.7978 | lr 0.037041 | mom 0.906 | 19.6 min
epoca   16 | train 0.54597 | val 0.54683 | AUC 0.7958 | lr 0.036307 | mom 0.907 | 20.9 min
epoca   17 | train 0.54580 | val 0.54741 | AUC 0.7978 | lr 0.035589 | mom 0.907 | 22.2 min
epoca   18 | train 0.54575 | val 0.54110 | AUC 0.7997 | lr 0.034884 | mom 0.908 | 23.6 min
epoca   19 | train 0.54558 | val 0.55505 | AUC 0.7975 | lr 0.034193 | mom 0.908 | 24.9 min
epoca   20 | train 0.54553 | val 0.54032 | AUC 0.8002 | lr 0.033516 | mom 0.909 | 26.2 min
epoca   21 | train 0.54534 | val 0.54683 | AUC 0.8004 | lr 0.032852 | mom 0.909 | 27.6 min
epoca   22 | train 0.54522 | val 0.54509 | AUC 0.7981 | lr 0.032202 | mom 0.909 | 28.9 min
epoca   23 | train 0.54511 | val 0.54872 | AUC 0.7952 | lr 0.031564 | mom 0.910 | 30.2 min
epoca   24 | train 0.54501 | val 0.54232 | AUC 0.7995 | lr 0.030939 | mom 0.910 | 31.6 min
epoca   25 | train 0.54489 | val 0.54481 | AUC 0.7965 | lr 0.030327 | mom 0.911 | 32.9 min
epoca   26 | train 0.54477 | val 0.54113 | AUC 0.7994 | lr 0.029726 | mom 0.911 | 34.2 min
epoca   27 | train 0.54460 | val 0.54413 | AUC 0.7970 | lr 0.029137 | mom 0.912 | 35.5 min
epoca   28 | train 0.54447 | val 0.54180 | AUC 0.7988 | lr 0.028560 | mom 0.912 | 36.9 min
epoca   29 | train 0.54437 | val 0.54074 | AUC 0.7997 | lr 0.027995 | mom 0.913 | 38.2 min
epoca   30 | train 0.54418 | val 0.54045 | AUC 0.7997 | lr 0.027441 | mom 0.913 | 39.6 min
epoca   31 | train 0.54409 | val 0.54048 | AUC 0.8003 | lr 0.026897 | mom 0.913 | 40.9 min
epoca   32 | train 0.54400 | val 0.54081 | AUC 0.7999 | lr 0.026365 | mom 0.914 | 42.2 min
epoca   33 | train 0.54387 | val 0.54032 | AUC 0.8004 | lr 0.025843 | mom 0.914 | 43.6 min
epoca   34 | train 0.54381 | val 0.54135 | AUC 0.8008 | lr 0.025331 | mom 0.915 | 44.9 min
epoca   35 | train 0.54369 | val 0.54068 | AUC 0.8003 | lr 0.024829 | mom 0.915 | 46.3 min
epoca   36 | train 0.54358 | val 0.54174 | AUC 0.7999 | lr 0.024338 | mom 0.916 | 47.6 min
epoca   37 | train 0.54342 | val 0.54055 | AUC 0.8006 | lr 0.023856 | mom 0.916 | 48.9 min
epoca   38 | train 0.54338 | val 0.54404 | AUC 0.7985 | lr 0.023383 | mom 0.917 | 50.3 min
epoca   39 | train 0.54328 | val 0.53904 | AUC 0.8013 | lr 0.022920 | mom 0.917 | 51.6 min
epoca   40 | train 0.54314 | val 0.54751 | AUC 0.7988 | lr 0.022466 | mom 0.918 | 52.9 min
epoca   41 | train 0.54311 | val 0.53940 | AUC 0.8011 | lr 0.022022 | mom 0.918 | 54.3 min
epoca   42 | train 0.54294 | val 0.53893 | AUC 0.8012 | lr 0.021586 | mom 0.918 | 55.6 min
epoca   43 | train 0.54289 | val 0.54063 | AUC 0.8008 | lr 0.021158 | mom 0.919 | 57.0 min
epoca   44 | train 0.54272 | val 0.54346 | AUC 0.7980 | lr 0.020739 | mom 0.919 | 58.4 min
epoca   45 | train 0.54260 | val 0.54175 | AUC 0.7986 | lr 0.020328 | mom 0.920 | 59.7 min
epoca   46 | train 0.54253 | val 0.54390 | AUC 0.7987 | lr 0.019926 | mom 0.920 | 61.0 min
epoca   47 | train 0.54239 | val 0.54479 | AUC 0.7978 | lr 0.019531 | mom 0.921 | 62.4 min
epoca   48 | train 0.54244 | val 0.53933 | AUC 0.8009 | lr 0.019145 | mom 0.921 | 63.7 min
epoca   49 | train 0.54228 | val 0.54006 | AUC 0.8016 | lr 0.018766 | mom 0.922 | 65.1 min
