============================================================
Configurazione : shallow_high
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : high  (7 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 7
  colonne standardizzate a media 0       : 0


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/alice/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_high_seme0

epoca    1 | train 0.59059 | val 0.57873 | AUC 0.7644 | lr 0.049010 | mom 0.900 | 1.1 min
epoca    2 | train 0.57462 | val 0.56942 | AUC 0.7705 | lr 0.048039 | mom 0.900 | 1.7 min
epoca    3 | train 0.57190 | val 0.57020 | AUC 0.7721 | lr 0.047088 | mom 0.901 | 2.2 min
epoca    4 | train 0.57144 | val 0.57081 | AUC 0.7696 | lr 0.046156 | mom 0.901 | 2.7 min
epoca    5 | train 0.57096 | val 0.56625 | AUC 0.7741 | lr 0.045242 | mom 0.902 | 3.2 min
epoca    6 | train 0.57049 | val 0.56801 | AUC 0.7730 | lr 0.044346 | mom 0.902 | 3.7 min
epoca    7 | train 0.57017 | val 0.57285 | AUC 0.7732 | lr 0.043468 | mom 0.903 | 4.3 min
epoca    8 | train 0.57002 | val 0.57658 | AUC 0.7736 | lr 0.042607 | mom 0.903 | 4.8 min
epoca    9 | train 0.56988 | val 0.57035 | AUC 0.7702 | lr 0.041764 | mom 0.904 | 5.4 min
epoca   10 | train 0.56977 | val 0.56876 | AUC 0.7737 | lr 0.040937 | mom 0.904 | 5.9 min
epoca   11 | train 0.56974 | val 0.56809 | AUC 0.7725 | lr 0.040126 | mom 0.904 | 6.6 min
epoca   12 | train 0.56970 | val 0.56885 | AUC 0.7741 | lr 0.039331 | mom 0.905 | 7.3 min
epoca   13 | train 0.56958 | val 0.56533 | AUC 0.7748 | lr 0.038553 | mom 0.905 | 7.9 min
