============================================================
Configurazione : shallow_low
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/alice/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_low_seme0

epoca    1 | train 0.64045 | val 0.63601 | AUC 0.6886 | lr 0.049010 | mom 0.900 | 1.6 min
epoca    2 | train 0.63544 | val 0.63888 | AUC 0.6851 | lr 0.048039 | mom 0.900 | 3.0 min
epoca    3 | train 0.63492 | val 0.63404 | AUC 0.6901 | lr 0.047088 | mom 0.901 | 4.2 min
epoca    4 | train 0.63451 | val 0.63340 | AUC 0.6905 | lr 0.046156 | mom 0.901 | 5.4 min
epoca    5 | train 0.63405 | val 0.63388 | AUC 0.6898 | lr 0.045242 | mom 0.902 | 6.7 min
epoca    6 | train 0.63392 | val 0.63377 | AUC 0.6911 | lr 0.044346 | mom 0.902 | 7.7 min
epoca    7 | train 0.63377 | val 0.64160 | AUC 0.6821 | lr 0.043468 | mom 0.903 | 8.8 min
epoca    8 | train 0.63364 | val 0.63231 | AUC 0.6940 | lr 0.042607 | mom 0.903 | 10.0 min
epoca    9 | train 0.63355 | val 0.63336 | AUC 0.6909 | lr 0.041764 | mom 0.904 | 11.2 min
epoca   10 | train 0.63336 | val 0.63252 | AUC 0.6906 | lr 0.040937 | mom 0.904 | 12.6 min
epoca   11 | train 0.63324 | val 0.63072 | AUC 0.6953 | lr 0.040126 | mom 0.904 | 13.9 min
epoca   12 | train 0.63311 | val 0.63725 | AUC 0.6932 | lr 0.039331 | mom 0.905 | 15.3 min
epoca   13 | train 0.63301 | val 0.63152 | AUC 0.6929 | lr 0.038553 | mom 0.905 | 16.6 min
epoca   14 | train 0.63284 | val 0.63163 | AUC 0.6962 | lr 0.037789 | mom 0.906 | 17.9 min
epoca   15 | train 0.63273 | val 0.63231 | AUC 0.6919 | lr 0.037041 | mom 0.906 | 19.2 min
epoca   16 | train 0.63263 | val 0.63438 | AUC 0.6884 | lr 0.036307 | mom 0.907 | 20.5 min
epoca   17 | train 0.63252 | val 0.63245 | AUC 0.6911 | lr 0.035589 | mom 0.907 | 21.8 min
epoca   18 | train 0.63242 | val 0.63110 | AUC 0.6948 | lr 0.034884 | mom 0.908 | 23.1 min
epoca   19 | train 0.63225 | val 0.62853 | AUC 0.6970 | lr 0.034193 | mom 0.908 | 24.4 min
