============================================================
Configurazione : shallow_high
Semi           : [2, 3, 4]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
============================================================

feature set : high  (7 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 7
  colonne standardizzate a media 0       : 0


------------------------------------------------------------
[seme 2] inizio
------------------------------------------------------------
Addestramento su cpu, 2,600,000 eventi, batch da 100
26,000 aggiornamenti per epoca

epoca    1 | train 0.61000 | val 0.59489 | AUC 0.7471 | lr 0.04974 | mom 0.900 | 0.4 min
epoca    2 | train 0.58891 | val 0.58273 | AUC 0.7587 | lr 0.04948 | mom 0.900 | 0.8 min
epoca    3 | train 0.58452 | val 0.58254 | AUC 0.7607 | lr 0.04923 | mom 0.901 | 1.2 min
epoca    4 | train 0.57933 | val 0.57670 | AUC 0.7669 | lr 0.04897 | mom 0.901 | 1.6 min
epoca    5 | train 0.57669 | val 0.57220 | AUC 0.7681 | lr 0.04872 | mom 0.902 | 2.0 min
epoca    6 | train 0.57622 | val 0.57405 | AUC 0.7673 | lr 0.04846 | mom 0.902 | 2.3 min
epoca    7 | train 0.57578 | val 0.57309 | AUC 0.7683 | lr 0.04821 | mom 0.903 | 2.8 min
epoca    8 | train 0.57574 | val 0.57198 | AUC 0.7681 | lr 0.04796 | mom 0.903 | 3.2 min
epoca    9 | train 0.57551 | val 0.57187 | AUC 0.7692 | lr 0.04771 | mom 0.904 | 3.6 min
epoca   10 | train 0.57546 | val 0.57092 | AUC 0.7700 | lr 0.04747 | mom 0.904 | 4.0 min
epoca   11 | train 0.57542 | val 0.57036 | AUC 0.7700 | lr 0.04722 | mom 0.904 | 4.3 min
epoca   12 | train 0.57536 | val 0.57362 | AUC 0.7691 | lr 0.04698 | mom 0.905 | 4.7 min
epoca   13 | train 0.57537 | val 0.57557 | AUC 0.7649 | lr 0.04673 | mom 0.905 | 5.0 min
epoca   14 | train 0.57536 | val 0.57229 | AUC 0.7685 | lr 0.04649 | mom 0.906 | 5.3 min
epoca   15 | train 0.57540 | val 0.57773 | AUC 0.7652 | lr 0.04625 | mom 0.906 | 5.7 min
epoca   16 | train 0.57525 | val 0.57899 | AUC 0.7680 | lr 0.04601 | mom 0.907 | 6.0 min
epoca   17 | train 0.57530 | val 0.57216 | AUC 0.7684 | lr 0.04577 | mom 0.907 | 6.4 min
epoca   18 | train 0.57527 | val 0.58163 | AUC 0.7660 | lr 0.04553 | mom 0.908 | 6.7 min
epoca   19 | train 0.57519 | val 0.57534 | AUC 0.7685 | lr 0.04530 | mom 0.908 | 7.1 min
epoca   20 | train 0.57540 | val 0.58757 | AUC 0.7675 | lr 0.04506 | mom 0.909 | 7.4 min
epoca   21 | train 0.57525 | val 0.57543 | AUC 0.7655 | lr 0.04483 | mom 0.909 | 7.8 min
epoca   22 | train 0.57537 | val 0.57313 | AUC 0.7695 | lr 0.04460 | mom 0.909 | 8.1 min
epoca   23 | train 0.57528 | val 0.57264 | AUC 0.7680 | lr 0.04436 | mom 0.910 | 8.4 min
epoca   24 | train 0.57540 | val 0.57758 | AUC 0.7678 | lr 0.04413 | mom 0.910 | 8.7 min
epoca   25 | train 0.57514 | val 0.58450 | AUC 0.7661 | lr 0.04390 | mom 0.911 | 8.9 min
epoca   26 | train 0.57520 | val 0.57366 | AUC 0.7670 | lr 0.04368 | mom 0.911 | 9.2 min
epoca   27 | train 0.57522 | val 0.57525 | AUC 0.7681 | lr 0.04345 | mom 0.912 | 9.5 min
epoca   28 | train 0.57520 | val 0.57536 | AUC 0.7653 | lr 0.04323 | mom 0.912 | 9.8 min
epoca   29 | train 0.57520 | val 0.57338 | AUC 0.7673 | lr 0.04300 | mom 0.913 | 10.0 min
epoca   30 | train 0.57520 | val 0.57087 | AUC 0.7704 | lr 0.04278 | mom 0.913 | 10.3 min
epoca   31 | train 0.57520 | val 0.57146 | AUC 0.7695 | lr 0.04256 | mom 0.913 | 10.7 min
epoca   32 | train 0.57521 | val 0.57209 | AUC 0.7697 | lr 0.04234 | mom 0.914 | 11.0 min
epoca   33 | train 0.57527 | val 0.57292 | AUC 0.7685 | lr 0.04212 | mom 0.914 | 11.4 min
epoca   34 | train 0.57496 | val 0.57266 | AUC 0.7675 | lr 0.04190 | mom 0.915 | 11.7 min
epoca   35 | train 0.57534 | val 0.57407 | AUC 0.7662 | lr 0.04168 | mom 0.915 | 12.1 min
epoca   36 | train 0.57522 | val 0.57292 | AUC 0.7685 | lr 0.04146 | mom 0.916 | 12.4 min
epoca   37 | train 0.57526 | val 0.57443 | AUC 0.7667 | lr 0.04125 | mom 0.916 | 12.8 min
epoca   38 | train 0.57534 | val 0.57094 | AUC 0.7697 | lr 0.04103 | mom 0.917 | 13.1 min
epoca   39 | train 0.57526 | val 0.57253 | AUC 0.7691 | lr 0.04082 | mom 0.917 | 13.4 min
epoca   40 | train 0.57519 | val 0.57246 | AUC 0.7681 | lr 0.04061 | mom 0.918 | 13.7 min
epoca   41 | train 0.57535 | val 0.57218 | AUC 0.7690 | lr 0.04040 | mom 0.918 | 14.0 min
epoca   42 | train 0.57536 | val 0.57303 | AUC 0.7684 | lr 0.04019 | mom 0.918 | 14.4 min
epoca   43 | train 0.57525 | val 0.57370 | AUC 0.7679 | lr 0.03998 | mom 0.919 | 14.7 min
epoca   44 | train 0.57517 | val 0.57168 | AUC 0.7681 | lr 0.03977 | mom 0.919 | 15.0 min
epoca   45 | train 0.57534 | val 0.57818 | AUC 0.7676 | lr 0.03957 | mom 0.920 | 15.3 min
epoca   46 | train 0.57521 | val 0.57114 | AUC 0.7692 | lr 0.03936 | mom 0.920 | 15.6 min
epoca   47 | train 0.57516 | val 0.57455 | AUC 0.7655 | lr 0.03916 | mom 0.921 | 16.0 min
epoca   48 | train 0.57525 | val 0.57307 | AUC 0.7673 | lr 0.03896 | mom 0.921 | 16.3 min
epoca   49 | train 0.57532 | val 0.57226 | AUC 0.7686 | lr 0.03875 | mom 0.922 | 16.6 min
epoca   50 | train 0.57525 | val 0.57479 | AUC 0.7675 | lr 0.03855 | mom 0.922 | 16.9 min
epoca   51 | train 0.57530 | val 0.58247 | AUC 0.7652 | lr 0.03835 | mom 0.922 | 17.2 min
epoca   52 | train 0.57518 | val 0.57669 | AUC 0.7685 | lr 0.03815 | mom 0.923 | 17.6 min
epoca   53 | train 0.57527 | val 0.57621 | AUC 0.7664 | lr 0.03796 | mom 0.923 | 17.9 min
epoca   54 | train 0.57532 | val 0.57349 | AUC 0.7687 | lr 0.03776 | mom 0.924 | 18.2 min
epoca   55 | train 0.57513 | val 0.57068 | AUC 0.7696 | lr 0.03756 | mom 0.924 | 18.5 min
epoca   56 | train 0.57535 | val 0.57274 | AUC 0.7673 | lr 0.03737 | mom 0.925 | 18.8 min
epoca   57 | train 0.57526 | val 0.57323 | AUC 0.7671 | lr 0.03717 | mom 0.925 | 19.2 min
