============================================================
Configurazione : shallow_low
Stack          : 2014  (tanh + sgd)
Semi           : [0, 1]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 2,600,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
26,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_low_seme0

epoca    1 | train 0.65402 | val 0.64409 | AUC 0.6734 | lr 0.049741 | mom 0.900 | 0.2 min
epoca    2 | train 0.64321 | val 0.64109 | AUC 0.6791 | lr 0.049483 | mom 0.900 | 0.4 min
epoca    3 | train 0.64192 | val 0.64094 | AUC 0.6818 | lr 0.049226 | mom 0.901 | 0.5 min
epoca    4 | train 0.64109 | val 0.64023 | AUC 0.6796 | lr 0.048971 | mom 0.901 | 0.7 min
epoca    5 | train 0.64010 | val 0.63502 | AUC 0.6874 | lr 0.048717 | mom 0.902 | 0.9 min
epoca    6 | train 0.63893 | val 0.63417 | AUC 0.6888 | lr 0.048464 | mom 0.902 | 1.0 min
epoca    7 | train 0.63887 | val 0.63861 | AUC 0.6866 | lr 0.048213 | mom 0.903 | 1.2 min
epoca    8 | train 0.63896 | val 0.63542 | AUC 0.6846 | lr 0.047963 | mom 0.903 | 1.4 min
epoca    9 | train 0.63838 | val 0.64267 | AUC 0.6873 | lr 0.047714 | mom 0.904 | 1.6 min
epoca   10 | train 0.63819 | val 0.64021 | AUC 0.6854 | lr 0.047466 | mom 0.904 | 1.7 min
epoca   11 | train 0.63798 | val 0.64024 | AUC 0.6808 | lr 0.047220 | mom 0.904 | 1.9 min
epoca   12 | train 0.63806 | val 0.63730 | AUC 0.6855 | lr 0.046975 | mom 0.905 | 2.1 min
epoca   13 | train 0.63821 | val 0.63517 | AUC 0.6878 | lr 0.046732 | mom 0.905 | 2.3 min
epoca   14 | train 0.63805 | val 0.63829 | AUC 0.6837 | lr 0.046489 | mom 0.906 | 2.4 min
epoca   15 | train 0.63809 | val 0.63841 | AUC 0.6838 | lr 0.046248 | mom 0.906 | 2.6 min
epoca   16 | train 0.63798 | val 0.63958 | AUC 0.6797 | lr 0.046008 | mom 0.907 | 2.8 min
epoca   17 | train 0.63801 | val 0.63560 | AUC 0.6872 | lr 0.045770 | mom 0.907 | 3.0 min
epoca   18 | train 0.63812 | val 0.64015 | AUC 0.6842 | lr 0.045532 | mom 0.908 | 3.1 min
epoca   19 | train 0.63817 | val 0.63869 | AUC 0.6820 | lr 0.045296 | mom 0.908 | 3.3 min
epoca   20 | train 0.63794 | val 0.64059 | AUC 0.6794 | lr 0.045061 | mom 0.909 | 3.5 min
epoca   21 | train 0.63799 | val 0.63549 | AUC 0.6877 | lr 0.044828 | mom 0.909 | 3.7 min
epoca   22 | train 0.63810 | val 0.63992 | AUC 0.6792 | lr 0.044595 | mom 0.909 | 3.9 min
epoca   23 | train 0.63802 | val 0.63756 | AUC 0.6856 | lr 0.044364 | mom 0.910 | 4.0 min
epoca   24 | train 0.63779 | val 0.63530 | AUC 0.6872 | lr 0.044134 | mom 0.910 | 4.2 min
epoca   25 | train 0.63802 | val 0.63827 | AUC 0.6829 | lr 0.043905 | mom 0.911 | 4.4 min
epoca   26 | train 0.63797 | val 0.64483 | AUC 0.6848 | lr 0.043677 | mom 0.911 | 4.6 min
epoca   27 | train 0.63808 | val 0.63429 | AUC 0.6883 | lr 0.043451 | mom 0.912 | 4.7 min
epoca   28 | train 0.63803 | val 0.64232 | AUC 0.6771 | lr 0.043225 | mom 0.912 | 4.9 min
epoca   29 | train 0.63804 | val 0.63355 | AUC 0.6895 | lr 0.043001 | mom 0.913 | 5.1 min
epoca   30 | train 0.63802 | val 0.63884 | AUC 0.6879 | lr 0.042778 | mom 0.913 | 5.3 min
epoca   31 | train 0.63797 | val 0.63912 | AUC 0.6876 | lr 0.042556 | mom 0.913 | 5.4 min
epoca   32 | train 0.63805 | val 0.64177 | AUC 0.6890 | lr 0.042335 | mom 0.914 | 5.6 min
epoca   33 | train 0.63803 | val 0.63471 | AUC 0.6876 | lr 0.042116 | mom 0.914 | 5.8 min
epoca   34 | train 0.63819 | val 0.63529 | AUC 0.6871 | lr 0.041897 | mom 0.915 | 6.0 min
epoca   35 | train 0.63810 | val 0.63740 | AUC 0.6822 | lr 0.041680 | mom 0.915 | 6.1 min
epoca   36 | train 0.63804 | val 0.63551 | AUC 0.6869 | lr 0.041464 | mom 0.916 | 6.3 min
epoca   37 | train 0.63805 | val 0.63489 | AUC 0.6881 | lr 0.041249 | mom 0.916 | 6.5 min
epoca   38 | train 0.63816 | val 0.64491 | AUC 0.6785 | lr 0.041035 | mom 0.917 | 6.7 min
epoca   39 | train 0.63811 | val 0.63940 | AUC 0.6828 | lr 0.040822 | mom 0.917 | 6.9 min
epoca   40 | train 0.63789 | val 0.63601 | AUC 0.6872 | lr 0.040610 | mom 0.918 | 7.0 min
epoca   41 | train 0.63803 | val 0.63420 | AUC 0.6885 | lr 0.040400 | mom 0.918 | 7.2 min
epoca   42 | train 0.63818 | val 0.63607 | AUC 0.6857 | lr 0.040190 | mom 0.918 | 7.4 min
epoca   43 | train 0.63817 | val 0.63622 | AUC 0.6888 | lr 0.039982 | mom 0.919 | 7.6 min
epoca   44 | train 0.63807 | val 0.63890 | AUC 0.6819 | lr 0.039774 | mom 0.919 | 7.7 min
epoca   45 | train 0.63811 | val 0.63426 | AUC 0.6876 | lr 0.039568 | mom 0.920 | 7.9 min
epoca   46 | train 0.63804 | val 0.64416 | AUC 0.6782 | lr 0.039363 | mom 0.920 | 8.1 min
epoca   47 | train 0.63812 | val 0.63557 | AUC 0.6860 | lr 0.039159 | mom 0.921 | 8.3 min
epoca   48 | train 0.63798 | val 0.63394 | AUC 0.6897 | lr 0.038956 | mom 0.921 | 8.5 min
epoca   49 | train 0.63804 | val 0.63626 | AUC 0.6848 | lr 0.038754 | mom 0.922 | 8.6 min
epoca   50 | train 0.63793 | val 0.63523 | AUC 0.6875 | lr 0.038553 | mom 0.922 | 8.8 min
epoca   51 | train 0.63807 | val 0.64301 | AUC 0.6768 | lr 0.038353 | mom 0.922 | 9.0 min
epoca   52 | train 0.63797 | val 0.63796 | AUC 0.6824 | lr 0.038154 | mom 0.923 | 9.2 min
epoca   53 | train 0.63797 | val 0.63981 | AUC 0.6841 | lr 0.037956 | mom 0.923 | 9.3 min
epoca   54 | train 0.63806 | val 0.63315 | AUC 0.6901 | lr 0.037759 | mom 0.924 | 9.5 min
epoca   55 | train 0.63809 | val 0.63879 | AUC 0.6879 | lr 0.037563 | mom 0.924 | 9.7 min
epoca   56 | train 0.63790 | val 0.63745 | AUC 0.6848 | lr 0.037368 | mom 0.925 | 9.9 min
epoca   57 | train 0.63805 | val 0.63537 | AUC 0.6859 | lr 0.037174 | mom 0.925 | 10.1 min
epoca   58 | train 0.63820 | val 0.63333 | AUC 0.6897 | lr 0.036982 | mom 0.926 | 10.2 min
epoca   59 | train 0.63805 | val 0.64061 | AUC 0.6867 | lr 0.036790 | mom 0.926 | 10.4 min
epoca   60 | train 0.63797 | val 0.63790 | AUC 0.6843 | lr 0.036599 | mom 0.927 | 10.6 min
epoca   61 | train 0.63821 | val 0.63843 | AUC 0.6890 | lr 0.036409 | mom 0.927 | 10.8 min
epoca   62 | train 0.63832 | val 0.63783 | AUC 0.6845 | lr 0.036220 | mom 0.927 | 10.9 min
epoca   63 | train 0.63815 | val 0.64424 | AUC 0.6870 | lr 0.036033 | mom 0.928 | 11.1 min
epoca   64 | train 0.63822 | val 0.64263 | AUC 0.6879 | lr 0.035846 | mom 0.928 | 11.3 min
epoca   65 | train 0.63825 | val 0.63619 | AUC 0.6866 | lr 0.035660 | mom 0.929 | 11.5 min
epoca   66 | train 0.63827 | val 0.63548 | AUC 0.6846 | lr 0.035475 | mom 0.929 | 11.6 min
epoca   67 | train 0.63830 | val 0.63691 | AUC 0.6840 | lr 0.035291 | mom 0.930 | 11.8 min
epoca   68 | train 0.63828 | val 0.64644 | AUC 0.6889 | lr 0.035108 | mom 0.930 | 12.0 min
epoca   69 | train 0.63820 | val 0.63936 | AUC 0.6856 | lr 0.034926 | mom 0.931 | 12.1 min
