============================================================
Configurazione : shallow_low
Stack          : 2014  (tanh + sgd)
Semi           : [2, 3, 4]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 2] inizio
------------------------------------------------------------
Addestramento su cuda, 2,600,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
26,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_low_seme2

epoca    1 | train 0.65446 | val 0.64654 | AUC 0.6724 | lr 0.049741 | mom 0.900 | 0.2 min
epoca    2 | train 0.64247 | val 0.63701 | AUC 0.6836 | lr 0.049483 | mom 0.900 | 0.4 min
epoca    3 | train 0.63979 | val 0.63617 | AUC 0.6844 | lr 0.049226 | mom 0.901 | 0.5 min
epoca    4 | train 0.63877 | val 0.63920 | AUC 0.6819 | lr 0.048971 | mom 0.901 | 0.7 min
epoca    5 | train 0.63727 | val 0.63743 | AUC 0.6851 | lr 0.048717 | mom 0.902 | 0.9 min
epoca    6 | train 0.63685 | val 0.63722 | AUC 0.6842 | lr 0.048464 | mom 0.902 | 1.0 min
epoca    7 | train 0.63682 | val 0.63928 | AUC 0.6879 | lr 0.048213 | mom 0.903 | 1.2 min
epoca    8 | train 0.63673 | val 0.63505 | AUC 0.6875 | lr 0.047963 | mom 0.903 | 1.4 min
epoca    9 | train 0.63640 | val 0.63492 | AUC 0.6890 | lr 0.047714 | mom 0.904 | 1.6 min
epoca   10 | train 0.63643 | val 0.63381 | AUC 0.6894 | lr 0.047466 | mom 0.904 | 1.7 min
epoca   11 | train 0.63635 | val 0.63405 | AUC 0.6883 | lr 0.047220 | mom 0.904 | 1.9 min
epoca   12 | train 0.63640 | val 0.63578 | AUC 0.6868 | lr 0.046975 | mom 0.905 | 2.1 min
epoca   13 | train 0.63653 | val 0.63563 | AUC 0.6896 | lr 0.046732 | mom 0.905 | 2.3 min
epoca   14 | train 0.63637 | val 0.63476 | AUC 0.6868 | lr 0.046489 | mom 0.906 | 2.4 min
epoca   15 | train 0.63628 | val 0.65048 | AUC 0.6850 | lr 0.046248 | mom 0.906 | 2.6 min
epoca   16 | train 0.63638 | val 0.63469 | AUC 0.6900 | lr 0.046008 | mom 0.907 | 2.8 min
epoca   17 | train 0.63627 | val 0.63841 | AUC 0.6812 | lr 0.045770 | mom 0.907 | 3.0 min
epoca   18 | train 0.63642 | val 0.63706 | AUC 0.6899 | lr 0.045532 | mom 0.908 | 3.1 min
epoca   19 | train 0.63645 | val 0.63338 | AUC 0.6909 | lr 0.045296 | mom 0.908 | 3.3 min
epoca   20 | train 0.63639 | val 0.63916 | AUC 0.6823 | lr 0.045061 | mom 0.909 | 3.5 min
epoca   21 | train 0.63647 | val 0.63588 | AUC 0.6855 | lr 0.044828 | mom 0.909 | 3.7 min
epoca   22 | train 0.63646 | val 0.63431 | AUC 0.6908 | lr 0.044595 | mom 0.909 | 3.8 min
epoca   23 | train 0.63645 | val 0.63695 | AUC 0.6869 | lr 0.044364 | mom 0.910 | 4.0 min
epoca   24 | train 0.63645 | val 0.63172 | AUC 0.6921 | lr 0.044134 | mom 0.910 | 4.2 min
epoca   25 | train 0.63632 | val 0.64820 | AUC 0.6876 | lr 0.043905 | mom 0.911 | 4.4 min
epoca   26 | train 0.63638 | val 0.63378 | AUC 0.6888 | lr 0.043677 | mom 0.911 | 4.6 min
epoca   27 | train 0.63637 | val 0.63653 | AUC 0.6873 | lr 0.043451 | mom 0.912 | 4.7 min
epoca   28 | train 0.63631 | val 0.63347 | AUC 0.6896 | lr 0.043225 | mom 0.912 | 4.9 min
epoca   29 | train 0.63630 | val 0.63686 | AUC 0.6835 | lr 0.043001 | mom 0.913 | 5.1 min
epoca   30 | train 0.63647 | val 0.63580 | AUC 0.6865 | lr 0.042778 | mom 0.913 | 5.3 min
